Title, Named Entity, Frequency
"Angela Merkel", "Germany", "129"
"Angela Merkel", "Angela Merkel", "122"
"Angela Merkel", "Merkel", "106"
"Angela Merkel", "German", "105"
"Angela Merkel", "CDU", "34"
"Angela Merkel", "EU", "28"
"Angela Merkel", "European", "26"
"Angela Merkel", "2021", "22"
"Angela Merkel", "first", "22"
"Angela Merkel", "May 2017", "22"
"Angela Merkel", "Berlin", "21"
"Angela Merkel", "2013", "21"
"Angela Merkel", "Europe", "21"
"Angela Merkel", "22", "21"
"Angela Merkel", "US", "20"
"Angela Merkel", "Christian Democratic Union", "19"
"Angela Merkel", "2017", "19"
"Angela Merkel", "28", "18"
"Angela Merkel", "BBC News", "17"
"Angela Merkel", "May 2019", "17"
"Angela Merkel", "Guardian", "16"
"Angela Merkel", "East Germany", "15"
"Angela Merkel", "SPD", "15"
"Angela Merkel", "70px", "15"
"Angela Merkel", "Deutsche Welle", "14"
"Angela Merkel", "30", "14"
"Angela Merkel", "China", "14"
"Angela Merkel", "Forbes", "14"
"Angela Merkel", "3", "13"
"Angela Merkel", "October 2021", "13"
"Angela Merkel", "2009", "13"
"Angela Merkel", "2014", "13"
"Angela Merkel", "Russian", "13"
"Angela Merkel", "Der Spiegel", "13"
"Angela Merkel", "2016", "13"
"Angela Merkel", "Seehofer", "13"
"Angela Merkel", "2", "12"
"Angela Merkel", "Bundestag", "12"
"Angela Merkel", "978", "12"
"Angela Merkel", "29", "12"
"Angela Merkel", "2005", "11"
"Angela Merkel", "2019", "11"
"Angela Merkel", "second", "11"
"Angela Merkel", "European Union", "11"
"Angela Merkel", "CSU", "11"
"Angela Merkel", "October 2018", "11"
"Angela Merkel", "27", "11"
"Angela Merkel", "12", "11"
"Angela Merkel", "English", "10"
"Angela Merkel", "Germans", "10"
"Angela Merkel", "Donald Trump", "10"
"Angela Merkel", "4", "9"
"Angela Merkel", "6", "9"
"Angela Merkel", "5", "9"
"Angela Merkel", "Hamburg", "9"
"Angela Merkel", "World", "9"
"Angela Merkel", "third", "9"
"Angela Merkel", "Polish", "9"
"Angela Merkel", "Reuters", "9"
"Angela Merkel", "Time", "9"
"Angela Merkel", "October 2017", "9"
"Angela Merkel", "CDU/CSU", "9"
"Angela Merkel", "8", "9"
"Angela Merkel", "18 April 2011", "9"
"Angela Merkel", "1990", "8"
"Angela Merkel", "2018", "8"
"Angela Merkel", "2011", "8"
"Angela Merkel", "10", "8"
"Angela Merkel", "April 2017", "8"
"Angela Merkel", "18 May 2021", "8"
"Angela Merkel", "November 2015", "8"
"Angela Merkel", "Ukraine", "8"
"Angela Merkel", "November 2005", "7"
"Angela Merkel", "2008", "7"
"Angela Merkel", "2012", "7"
"Angela Merkel", "The New York Times", "7"
"Angela Merkel", "November 2020", "7"
"Angela Merkel", "2015", "7"
"Angela Merkel", "United States", "7"
"Angela Merkel", "Israel", "7"
"Angela Merkel", "6 October 2008", "7"
"Angela Merkel", "Islam", "7"
"Angela Merkel", "8 September 2010", "7"
"Angela Merkel", "Gerhard Schröder", "6"
"Angela Merkel", "17", "6"
"Angela Merkel", "Angela", "6"
"Angela Merkel", "Christian", "6"
"Angela Merkel", "2002", "6"
"Angela Merkel", "30 December 2018", "6"
"Angela Merkel", "BBC", "6"
"Angela Merkel", "fourth", "6"
"Angela Merkel", "14 March 2018", "6"
"Angela Merkel", "Kate", "6"
"Angela Merkel", "NATO", "6"
"Angela Merkel", "2007", "6"
"Angela Merkel", "August 2005", "6"
"Angela Merkel", "two", "6"
"Angela Merkel", "GB", "6"
"Angela Merkel", "Stasi", "6"
"Angela Merkel", "Vladimir Putin", "6"
"Angela Merkel", "16", "6"
"Angela Merkel", "October 2010", "6"
"Angela Merkel", "September 2013", "6"
"Angela Merkel", "9 November 2016", "6"
"Angela Merkel", "October 2016", "6"
"Angela Merkel", "Politico", "6"
"Angela Merkel", "26", "6"
"Angela Merkel", "Horst Seehofer", "6"
"Angela Merkel", "September 2020", "6"
"Angela Merkel", "20 September 2019", "6"
"Angela Merkel", "Kramp Karrenbauer", "6"
"Angela Merkel", "Olaf Scholz", "5"
"Angela Merkel", "December 2018", "5"
"Angela Merkel", "Helmut Kohl", "5"
"Angela Merkel", "West Germany", "5"
"Angela Merkel", "1998", "5"
"Angela Merkel", "Bavarian", "5"
"Angela Merkel", "Free Democratic Party", "5"
"Angela Merkel", "FDP", "5"
"Angela Merkel", "19", "5"
"Angela Merkel", "29 October 2018", "5"
"Angela Merkel", "Tony", "5"
"Angela Merkel", "one", "5"
"Angela Merkel", "14 December 2018", "5"
"Angela Merkel", "August 2016", "5"
"Angela Merkel", "23", "5"
"Angela Merkel", "9 September 2021", "5"
"Angela Merkel", "23 September 2020", "5"
"Angela Merkel", "2 July 2018", "5"
"Angela Merkel", "2 March 2010", "5"
"Angela Merkel", "11 July 2019", "5"
"Angela Merkel", "Russia", "5"
"Angela Merkel", "100", "5"
"Angela Merkel", "18 July 2019", "5"
"Angela Merkel", "Senior Citizens", "4"
"Angela Merkel", "Mecklenburg Vorpommern", "4"
"Angela Merkel", "Joachim Sauer", "4"
"Angela Merkel", "1986", "4"
"Angela Merkel", "American", "4"
"Angela Merkel", "British", "4"
"Angela Merkel", "50", "4"
"Angela Merkel", "Lutheran", "4"
"Angela Merkel", "Poland", "4"
"Angela Merkel", "Angela Merkel Langguth Gerd", "4"
"Angela Merkel", "Munich", "4"
"Angela Merkel", "East German", "4"
"Angela Merkel", "Kohl", "4"
"Angela Merkel", "August 2011", "4"
"Angela Merkel", "0261 3077", "4"
"Angela Merkel", "2010", "4"
"Angela Merkel", "Angela Merkel's", "4"
"Angela Merkel", "Bloomberg", "4"
"Angela Merkel", "November 2016", "4"
"Angela Merkel", "November 2021", "4"
"Angela Merkel", "August 2019", "4"
"Angela Merkel", "6 September 2015", "4"
"Angela Merkel", "Barack Obama", "4"
"Angela Merkel", "Oval Office", "4"
"Angela Merkel", "23 January 2017", "4"
"Angela Merkel", "27 June 2019", "4"
"Angela Merkel", "24 February 2016", "4"
"Angela Merkel", "Evangelical Church", "4"
"Angela Merkel", "Grand Cross", "4"
"Angela Merkel", "August 2017", "4"
"Angela Merkel", "1", "4"
"Angela Merkel", "2020", "4"
"Angela Merkel", "Deutschland", "4"
"Angela Merkel", "Joyce Marie", "4"
"Angela Merkel", "Frank Walter Steinmeier", "3"
"Angela Merkel", "December 2021", "3"
"Angela Merkel", "7 April 2019", "3"
"Angela Merkel", "IPA", "3"
"Angela Merkel", "Bundeskanzlerin", "3"
"Angela Merkel", "Federal Ministry of Family Affairs", "3"
"Angela Merkel", "Grand", "3"
"Angela Merkel", "Christian Social Union", "3"
"Angela Merkel", "October 2009", "3"
"Angela Merkel", "31", "3"
"Angela Merkel", "23 September 2013", "3"
"Angela Merkel", "1954", "3"
"Angela Merkel", "Stefan Kornelius", "3"
"Angela Merkel", "Brandenburg", "3"
"Angela Merkel", "Ruetter, Werner, Who's Afraid of Merkel", "3"
"Angela Merkel", "Daily Telegraph", "3"
"Angela Merkel", "19 April 2017", "3"
"Angela Merkel", "Ukrainian", "3"
"Angela Merkel", "Hugger", "3"
"Angela Merkel", "Justin", "3"
"Angela Merkel", "10 moments", "3"
"Angela Merkel", "29 April 2017", "3"
"Angela Merkel", "9 October 2015", "3"
"Angela Merkel", "seven", "3"
"Angela Merkel", "9 December 2014", "3"
"Angela Merkel", "three", "3"
"Angela Merkel", "December 2020", "3"
"Angela Merkel", "CDU Leader", "3"
"Angela Merkel", "Iraq", "3"
"Angela Merkel", "CNN", "3"
"Angela Merkel", "Stoiber", "3"
"Angela Merkel", "German American", "3"
"Angela Merkel", "Turkish", "3"
"Angela Merkel", "22 November 2005", "3"
"Angela Merkel", "14 November 2005", "3"
"Angela Merkel", "May 2021", "3"
"Angela Merkel", "Connolly", "3"
"Angela Merkel", "Deutscher Bundestag", "3"
"Angela Merkel", "23 August 2011", "3"
"Angela Merkel", "France", "3"
"Angela Merkel", "24", "3"
"Angela Merkel", "October 2015", "3"
"Angela Merkel", "The Wall Street Journal", "3"
"Angela Merkel", "Greens", "3"
"Angela Merkel", "March 2018", "3"
"Angela Merkel", "Grand Coalition", "3"
"Angela Merkel", "15 December 2018", "3"
"Angela Merkel", "8 December 2021", "3"
"Angela Merkel", "Muslim", "3"
"Angela Merkel", "September", "3"
"Angela Merkel", "Andrea", "3"
"Angela Merkel", "Sky News", "3"
"Angela Merkel", "16 September 2020", "3"
"Angela Merkel", "Bavaria", "3"
"Angela Merkel", "10 January 2016", "3"
"Angela Merkel", "Hungary", "3"
"Angela Merkel", "June 2018", "3"
"Angela Merkel", "3 July 2018", "3"
"Angela Merkel", "Atlantic", "3"
"Angela Merkel", "George W. Bush", "3"
"Angela Merkel", "Joe Biden", "3"
"Angela Merkel", "15 November 2016", "3"
"Angela Merkel", "25", "3"
"Angela Merkel", "Jennifer Rubin", "3"
"Angela Merkel", "Alison", "3"
"Angela Merkel", "2006", "3"
"Angela Merkel", "U.S.", "3"
"Angela Merkel", "UK", "3"
"Angela Merkel", "OECD", "3"
"Angela Merkel", "Harvard University", "3"
"Angela Merkel", "Associated Press", "3"
"Angela Merkel", "9 December 2021", "3"
"Angela Merkel", "Putin", "3"
