Title, Named Entity, Frequency
"Ed Sheeran", "Sheeran", "252"
"Ed Sheeran", "Ed Sheeran", "179"
"Ed Sheeran", "UK", "52"
"Ed Sheeran", "first", "29"
"Ed Sheeran", "2017", "27"
"Ed Sheeran", "Ed Sheeran's", "24"
"Ed Sheeran", "British", "22"
"Ed Sheeran", "one", "20"
"Ed Sheeran", "London", "20"
"Ed Sheeran", "US", "19"
"Ed Sheeran", "BBC", "18"
"Ed Sheeran", "second", "17"
"Ed Sheeran", "two", "17"
"Ed Sheeran", "number one", "16"
"Ed Sheeran", "Billboard", "16"
"Ed Sheeran", "Australia", "14"
"Ed Sheeran", "100", "14"
"Ed Sheeran", "8 June 2013", "13"
"Ed Sheeran", "One", "13"
"Ed Sheeran", "Taylor Swift", "12"
"Ed Sheeran", "2015", "12"
"Ed Sheeran", "November 2015", "12"
"Ed Sheeran", "Shape of You", "11"
"Ed Sheeran", "10", "11"
"Ed Sheeran", "2019", "11"
"Ed Sheeran", "Suffolk", "11"
"Ed Sheeran", "BBC News", "11"
"Ed Sheeran", "2014", "11"
"Ed Sheeran", "Thinking Out Loud", "10"
"Ed Sheeran", "fourth", "10"
"Ed Sheeran", "Irish", "10"
"Ed Sheeran", "5", "10"
"Ed Sheeran", "15 November 2015", "10"
"Ed Sheeran", "The A Team", "9"
"Ed Sheeran", "March 2017", "9"
"Ed Sheeran", "1", "9"
"Ed Sheeran", "Eminem", "9"
"Ed Sheeran", "March 2022", "9"
"Ed Sheeran", "2012", "8"
"Ed Sheeran", "Christmas", "8"
"Ed Sheeran", "August 2015", "8"
"Ed Sheeran", "14 November 2015", "8"
"Ed Sheeran", "Spotify", "8"
"Ed Sheeran", "December 2017", "7"
"Ed Sheeran", "2018", "7"
"Ed Sheeran", "2", "7"
"Ed Sheeran", "third", "7"
"Ed Sheeran", "ten", "7"
"Ed Sheeran", "25", "7"
"Ed Sheeran", "28", "7"
"Ed Sheeran", "26", "7"
"Ed Sheeran", "Rolling Stone", "7"
