Title, Named Entity, Frequency
"Elon Musk", "Musk", "235"
"Elon Musk", "2020", "107"
"Elon Musk", "Tesla", "85"
"Elon Musk", "2021", "64"
"Elon Musk", "2015", "40"
"Elon Musk", "Elon Musk", "28"
"Elon Musk", "Twitter", "26"
"Elon Musk", "CNBC", "25"
"Elon Musk", "first", "24"
"Elon Musk", "Vance Vance", "24"
"Elon Musk", "SEC", "22"
"Elon Musk", "2018", "18"
"Elon Musk", "US", "18"
"Elon Musk", "13", "18"
"Elon Musk", "California", "17"
"Elon Musk", "Guardian", "17"
"Elon Musk", "12", "17"
"Elon Musk", "3", "16"
"Elon Musk", "14", "15"
"Elon Musk", "Elon Musk's", "12"
"Elon Musk", "22, 2021", "12"
"Elon Musk", "United States", "11"
"Elon Musk", "2012", "11"
"Elon Musk", "25", "11"
"Elon Musk", "2", "11"
"Elon Musk", "1", "11"
"Elon Musk", "second", "11"
"Elon Musk", "2022", "11"
"Elon Musk", "28", "11"
"Elon Musk", "5", "11"
"Elon Musk", "2016", "10"
"Elon Musk", "Verge", "10"
"Elon Musk", "6", "10"
"Elon Musk", "2017", "10"
"Elon Musk", "two", "10"
"Elon Musk", "17", "10"
"Elon Musk", "one", "10"
"Elon Musk", "February 10, 2021", "10"
"Elon Musk", "New York Times", "10"
"Elon Musk", "Ukraine", "10"
"Elon Musk", "PayPal", "9"
"Elon Musk", "8", "9"
"Elon Musk", "2019", "9"
"Elon Musk", "BBC News", "9"
"Elon Musk", "December 13", "9"
"Elon Musk", "29", "9"
"Elon Musk", "Business Insider", "9"
"Elon Musk", "Thai", "9"
"Elon Musk", "2008", "8"
"Elon Musk", "Forbes", "8"
"Elon Musk", "The New York Times", "8"
"Elon Musk", "2013", "8"
"Elon Musk", "December 13, 2020", "8"
"Elon Musk", "Earth", "8"
"Elon Musk", "February 9, 2021", "8"
"Elon Musk", "Reuters", "8"
"Elon Musk", "January 14, 2021", "8"
"Elon Musk", "February 17, 2021", "8"
"Elon Musk", "Texas", "8"
"Elon Musk", "London", "7"
"Elon Musk", "South Africa", "7"
"Elon Musk", "OpenAI", "7"
"Elon Musk", "Canadian", "7"
"Elon Musk", "26", "7"
"Elon Musk", "2002", "7"
"Elon Musk", "British", "7"
"Elon Musk", "19", "7"
"Elon Musk", "24", "7"
"Elon Musk", "Mars", "7"
"Elon Musk", "10", "7"
"Elon Musk", "978", "7"
"Elon Musk", "22", "7"
"Elon Musk", "January 29", "7"
"Elon Musk", "April 25, 2021", "7"
"Elon Musk", "Thailand", "7"
"Elon Musk", "Washington Post", "7"
"Elon Musk", "Pretoria", "6"
"Elon Musk", "Hyperloop", "6"
"Elon Musk", "Vox", "6"
"Elon Musk", "Russian", "6"
"Elon Musk", "CNN", "6"
"Elon Musk", "9", "6"
"Elon Musk", "Grimes", "6"
"Elon Musk", "Time", "6"
"Elon Musk", "English", "5"
"Elon Musk", "Neuralink", "5"
"Elon Musk", "Talulah Riley", "5"
"Elon Musk", "The Boring Company", "5"
"Elon Musk", "Elon", "5"
"Elon Musk", "O'Kane Sean", "5"
"Elon Musk", "U.S.", "5"
"Elon Musk", "Silicon Valley", "5"
"Elon Musk", "July 16, 2018", "5"
"Elon Musk", "15", "5"
"Elon Musk", "2014", "5"
"Elon Musk", "23", "5"
"Elon Musk", "January 11", "5"
"Elon Musk", "7, 2021", "5"
"Elon Musk", "2010", "5"
"Elon Musk", "Wall Street Journal", "5"
"Elon Musk", "The Wall Street Journal", "5"
"Elon Musk", "Kolodny Lora", "5"
"Elon Musk", "September 3, 2020", "5"
"Elon Musk", "2022 04", "5"
"Elon Musk", "Bernie Sanders", "5"
"Elon Musk", "Trump", "5"
"Elon Musk", "December 2021", "5"
"Elon Musk", "January 30, 2021", "5"
"Elon Musk", "U.S. Securities and Exchange Commission", "4"
"Elon Musk", "South African", "4"
"Elon Musk", "Canada", "4"
"Elon Musk", "1995", "4"
"Elon Musk", "2006", "4"
"Elon Musk", "31", "4"
"Elon Musk", "7", "4"
"Elon Musk", "New York City", "4"
"Elon Musk", "Clifford Catherine", "4"
"Elon Musk", "Vanity Fair", "4"
