Title, Named Entity, Frequency
"Lionel Messi", "Messi", "598"
"Lionel Messi", "Barcelona", "239"
"Lionel Messi", "Argentina", "193"
"Lionel Messi", "Lionel Messi", "144"
"Lionel Messi", "first", "123"
"Lionel Messi", "ESPN", "72"
"Lionel Messi", "second", "70"
"Lionel Messi", "La Liga", "67"
"Lionel Messi", "World Cup", "60"
"Lionel Messi", "BBC Sport", "58"
"Lionel Messi", "FC Barcelona", "49"
"Lionel Messi", "August 2015", "49"
"Lionel Messi", "Guardian", "46"
"Lionel Messi", "2013", "44"
"Lionel Messi", "22", "43"
"Lionel Messi", "two", "42"
"Lionel Messi", "four", "38"
"Lionel Messi", "2", "36"
"Lionel Messi", "Copa América", "34"
"Lionel Messi", "11", "33"
"Lionel Messi", "12", "33"
"Lionel Messi", "Maradona", "32"
"Lionel Messi", "5", "31"
"Lionel Messi", "2014", "31"
"Lionel Messi", "Champions League", "31"
"Lionel Messi", "Argentine", "30"
"Lionel Messi", "2015", "30"
"Lionel Messi", "16", "28"
"Lionel Messi", "UEFA Champions League", "26"
"Lionel Messi", "10", "25"
"Lionel Messi", "4", "25"
"Lionel Messi", "Brazil", "24"
"Lionel Messi", "five", "24"
"Lionel Messi", "Spanish", "24"
"Lionel Messi", "17 August 2015", "24"
"Lionel Messi", "Cristiano Ronaldo", "23"
"Lionel Messi", "2012", "23"
"Lionel Messi", "Ronaldo", "23"
"Lionel Messi", "10 January 2022", "23"
"Lionel Messi", "Spain", "22"
"Lionel Messi", "three", "22"
"Lionel Messi", "3", "22"
"Lionel Messi", "2009", "21"
"Lionel Messi", "third", "21"
"Lionel Messi", "2011", "21"
"Lionel Messi", "one", "21"
"Lionel Messi", "2021", "20"
"Lionel Messi", "Messi Cuccittini", "20"
"Lionel Messi", "2019", "19"
"Lionel Messi", "Leo Messi", "19"
"Lionel Messi", "2018", "18"
"Lionel Messi", "23", "18"
"Lionel Messi", "27", "18"
"Lionel Messi", "Real Madrid", "18"
"Lionel Messi", "The Daily Telegraph", "18"
"Lionel Messi", "28", "18"
"Lionel Messi", "14 August 2015", "18"
"Lionel Messi", "FIFA World Cup", "17"
"Lionel Messi", "6", "17"
"Lionel Messi", "20", "17"
"Lionel Messi", "9 August 2015", "17"
"Lionel Messi", "1", "16"
"Lionel Messi", "Chile", "16"
"Lionel Messi", "Barça", "15"
"Lionel Messi", "CNN", "15"
"Lionel Messi", "9", "15"
"Lionel Messi", "30 July 2015", "15"
"Lionel Messi", "2007", "14"
"Lionel Messi", "2016", "14"
"Lionel Messi", "fifth", "14"
"Lionel Messi", "Diego Maradona", "14"
"Lionel Messi", "21 July 2015", "14"
"Lionel Messi", "27 July 2015", "14"
"Lionel Messi", "Germany", "14"
"Lionel Messi", "Paraguay", "14"
"Lionel Messi", "Ballon", "13"
"Lionel Messi", "17", "13"
"Lionel Messi", "sixth", "13"
"Lionel Messi", "Ballon d'Or", "13"
"Lionel Messi", "Lionel Messi's", "13"
"Lionel Messi", "Sky Sports", "13"
"Lionel Messi", "Europe", "13"
"Lionel Messi", "29", "13"
"Lionel Messi", "10 August 2015", "13"
"Lionel Messi", "14", "12"
"Lionel Messi", "30", "12"
"Lionel Messi", "August", "12"
"Lionel Messi", "The New York Times", "12"
"Lionel Messi", "2010", "12"
"Lionel Messi", "1–0", "12"
"Lionel Messi", "Rosario", "11"
"Lionel Messi", "Venezuela", "11"
"Lionel Messi", "Colombia", "11"
"Lionel Messi", "European", "11"
"Lionel Messi", "21", "11"
"Lionel Messi", "18 July 2015", "11"
"Lionel Messi", "Ronaldinho", "11"
"Lionel Messi", "19", "11"
"Lionel Messi", "25", "11"
"Lionel Messi", "Uruguay", "11"
"Lionel Messi", "Paris Saint Germain F.C.", "10"
