Title, Named Entity, Frequency
"Selena Gomez", "Gomez", "183"
"Selena Gomez", "Selena Gomez", "87"
"Selena Gomez", "Billboard", "33"
"Selena Gomez", "first", "24"
"Selena Gomez", "second", "23"
"Selena Gomez", "Selena Gomez's", "21"
"Selena Gomez", "100", "20"
"Selena Gomez", "June 18, 2013", "20"
"Selena Gomez", "November 7, 2014", "18"
"Selena Gomez", "2009", "17"
"Selena Gomez", "June 15, 2013", "16"
"Selena Gomez", "Selena Gomez & Scene", "15"
"Selena Gomez", "2020", "15"
"Selena Gomez", "Disney Channel", "14"
"Selena Gomez", "Time", "14"
"Selena Gomez", "2019", "13"
"Selena Gomez", "Hollywood", "13"
"Selena Gomez", "2013", "13"
"Selena Gomez", "one", "11"
"Selena Gomez", "2014", "11"
"Selena Gomez", "124", "11"
"Selena Gomez", "2010", "10"
"Selena Gomez", "2016", "10"
"Selena Gomez", "Instagram", "10"
"Selena Gomez", "Variety", "10"
"Selena Gomez", "December 8, 2016", "10"
"Selena Gomez", "2011", "9"
"Selena Gomez", "2021", "8"
"Selena Gomez", "Texas", "8"
"Selena Gomez", "13", "8"
"Selena Gomez", "2015", "8"
"Selena Gomez", "2017", "8"
"Selena Gomez", "third", "8"
"Selena Gomez", "Trick", "8"
"Selena Gomez", "American Music Awards", "7"
"Selena Gomez", "New York", "7"
"Selena Gomez", "ten", "7"
"Selena Gomez", "Kiss & Tell", "7"
"Selena Gomez", "UNICEF", "7"
"Selena Gomez", "Los Angeles", "7"
"Selena Gomez", "1", "7"
"Selena Gomez", "Justin Bieber", "7"
"Selena Gomez", "Selena", "6"
"Selena Gomez", "two", "6"
"Selena Gomez", "United States", "6"
"Selena Gomez", "MTV", "6"
"Selena Gomez", "US", "6"
"Selena Gomez", "October 15, 2009", "6"
"Selena Gomez", "Metacritic", "6"
"Selena Gomez", "2012", "5"
"Selena Gomez", "The Fundamentals of Caring", "5"
"Selena Gomez", "three", "5"
"Selena Gomez", "Disney", "5"
"Selena Gomez", "Demi Lovato", "5"
"Selena Gomez", "2008", "5"
"Selena Gomez", "Hollywood Records", "5"
"Selena Gomez", "October 21, 2009", "5"
"Selena Gomez", "number one", "5"
"Selena Gomez", "October 22, 2009", "5"
"Selena Gomez", "August 12, 2015", "5"
"Selena Gomez", "October 9, 2015", "5"
"Selena Gomez", "Rolling Stone", "5"
"Selena Gomez", "EDM", "5"
"Selena Gomez", "American", "4"
"Selena Gomez", "Wizards of Waverly Place", "4"
"Selena Gomez", "Monte Carlo", "4"
"Selena Gomez", "Getaway", "4"
"Selena Gomez", "Netflix", "4"
"Selena Gomez", "Building", "4"
"Selena Gomez", "Billboard 200", "4"
"Selena Gomez", "26", "4"
"Selena Gomez", "The Heart Wants What It Wants", "4"
"Selena Gomez", "Gomez Biography", "4"
"Selena Gomez", "10", "4"
"Selena Gomez", "Los Angeles Times", "4"
"Selena Gomez", "YouTube", "4"
"Selena Gomez", "July 23, 2013", "4"
"Selena Gomez", "California", "4"
"Selena Gomez", "Lovato", "4"
"Selena Gomez", "New York City", "4"
"Selena Gomez", "Amazon", "4"
"Selena Gomez", "Burnin", "4"
"Selena Gomez", "Jonas Brothers", "4"
"Selena Gomez", "December 17, 2021", "4"
"Selena Gomez", "iTunes Store", "4"
"Selena Gomez", "Entertainment Weekly", "4"
