Title, Named Entity, Frequency
"Shawn Mendes", "Mendes", "119"
"Shawn Mendes", "Shawn Mendes", "99"
"Shawn Mendes", "100", "21"
"Shawn Mendes", "Billboard", "15"
"Shawn Mendes", "US", "14"
"Shawn Mendes", "2018", "13"
"Shawn Mendes", "first", "13"
"Shawn Mendes", "number one", "12"
"Shawn Mendes", "10", "12"
"Shawn Mendes", "second", "12"
"Shawn Mendes", "one", "11"
"Shawn Mendes", "Canada", "10"
"Shawn Mendes", "2015", "10"
"Shawn Mendes", "Illuminate", "10"
"Shawn Mendes", "third", "10"
"Shawn Mendes", "Rolling Stone", "10"
"Shawn Mendes", "three", "9"
"Shawn Mendes", "YouTube", "9"
"Shawn Mendes", "2020", "8"
"Shawn Mendes", "2014", "8"
"Shawn Mendes", "Señorita", "8"
"Shawn Mendes", "Time", "8"
"Shawn Mendes", "Canadian", "7"
"Shawn Mendes", "Toronto", "7"
"Shawn Mendes", "2016", "7"
"Shawn Mendes", "American Music Awards", "7"
"Shawn Mendes", "1", "7"
"Shawn Mendes", "2017", "7"
"Shawn Mendes", "9 October 2018", "7"
"Shawn Mendes", "Japan", "7"
"Shawn Mendes", "Vine", "6"
"Shawn Mendes", "US Billboard", "6"
"Shawn Mendes", "2019", "6"
"Shawn Mendes", "Wonder", "6"
"Shawn Mendes", "American", "6"
"Shawn Mendes", "Taylor Swift", "6"
"Shawn Mendes", "North America", "6"
"Shawn Mendes", "28", "6"
"Shawn Mendes", "Netflix", "6"
"Shawn Mendes", "UK", "5"
"Shawn Mendes", "Billboard 200", "5"
"Shawn Mendes", "14", "5"
"Shawn Mendes", "Shawn Mendes'", "5"
"Shawn Mendes", "RIAA", "5"
"Shawn Mendes", "30", "5"
"Shawn Mendes", "22", "5"
"Shawn Mendes", "Queen", "5"
"Shawn Mendes", "Teddy Geiger", "4"
"Shawn Mendes", "In My Blood (Shawn Mendes", "4"
"Shawn Mendes", "eight", "4"
"Shawn Mendes", "Teen Vogue", "4"
"Shawn Mendes", "25", "4"
"Shawn Mendes", "20", "4"
"Shawn Mendes", "23 September 2018", "4"
"Shawn Mendes", "ET Canada", "4"
"Shawn Mendes", "14 May 2019", "4"
"Shawn Mendes", "February 2019", "4"
"Shawn Mendes", "30 September 2018", "4"
"Shawn Mendes", "14 October 2018", "4"
"Shawn Mendes", "19", "4"
"Shawn Mendes", "India", "4"
"Shawn Mendes", "Lyle", "4"
"Shawn Mendes", "June 2016", "3"
"Shawn Mendes", "2013", "3"
"Shawn Mendes", "Island Records", "3"
"Shawn Mendes", "18", "3"
"Shawn Mendes", "There's Nothing Holdin' Me Back", "3"
"Shawn Mendes", "four", "3"
"Shawn Mendes", "two", "3"
"Shawn Mendes", "Justin Bieber", "3"
"Shawn Mendes", "Austin Mahone", "3"
"Shawn Mendes", "fifth", "3"
"Shawn Mendes", "August 2017", "3"
"Shawn Mendes", "Adult Contemporary", "3"
"Shawn Mendes", "1989", "3"
"Shawn Mendes", "Europe", "3"
"Shawn Mendes", "September 23, 2016", "3"
"Shawn Mendes", "Second", "3"
"Shawn Mendes", "13 October 2018", "3"
"Shawn Mendes", "In My Blood", "3"
"Shawn Mendes", "Khalid", "3"
"Shawn Mendes", "92nd", "3"
"Shawn Mendes", "James Corden", "3"
"Shawn Mendes", "Australia", "3"
"Shawn Mendes", "Cuban", "3"
"Shawn Mendes", "Camila Cabello", "3"
"Shawn Mendes", "Camila Cabello's", "3"
"Shawn Mendes", "September 30, 2020", "3"
"Shawn Mendes", "2021", "3"
"Shawn Mendes", "AllMusic", "3"
"Shawn Mendes", "Clash", "3"
"Shawn Mendes", "9 November 2020", "3"
"Shawn Mendes", "Variety", "3"
"Shawn Mendes", "27 November 2018", "3"
"Shawn Mendes", "Crocodile", "3"
"Shawn Mendes", "Raul Mendes", "2"
"Shawn Mendes", "Ontario", "2"
"Shawn Mendes", "Andrew Gertler", "2"
"Shawn Mendes", "Handwritten", "2"
"Shawn Mendes", "five", "2"
"Shawn Mendes", "Treat You Better (", "2"
"Shawn Mendes", "fourth", "2"
"Shawn Mendes", "MTV Europe Music Awards", "2"
"Shawn Mendes", "Juno Awards", "2"
"Shawn Mendes", "annual", "2"
"Shawn Mendes", "Shawn Mendes's", "2"
"Shawn Mendes", "June 21, 2019", "2"
"Shawn Mendes", "Seventeen", "2"
"Shawn Mendes", "Justin Bieber's", "2"
"Shawn Mendes", "a few months", "2"
"Shawn Mendes", "04 23", "2"
"Shawn Mendes", "Life of Party", "2"
"Shawn Mendes", "July 18, 2014", "2"
"Shawn Mendes", "Viners", "2"
"Shawn Mendes", "its first week", "2"
"Shawn Mendes", "British", "2"
"Shawn Mendes", "October 26, 2015", "2"
"Shawn Mendes", "First Artist", "2"
"Shawn Mendes", "AC Chart's", "2"
"Shawn Mendes", "Age 20", "2"
"Shawn Mendes", "November 7, 2017", "2"
"Shawn Mendes", "September 2018", "2"
"Shawn Mendes", "World Tour", "2"
"Shawn Mendes", "I Know What You Did Last Summer", "2"
"Shawn Mendes", "Last Summer", "2"
"Shawn Mendes", "November 11, 2015", "2"
"Shawn Mendes", "TIME", "2"
"Shawn Mendes", "November 16, 2015", "2"
"Shawn Mendes", "Music News", "2"
"Shawn Mendes", "News Radio", "2"
"Shawn Mendes", "August", "2"
"Shawn Mendes", "Billboard Caulfield Keith", "2"
"Shawn Mendes", "August 18, 2016", "2"
"Shawn Mendes", "Vogue", "2"
"Shawn Mendes", "December 24, 2016", "2"
"Shawn Mendes", "June 2017", "2"
"Shawn Mendes", "August 24, 2017 >", "2"
"Shawn Mendes", "April 20, 2017", "2"
"Shawn Mendes", "20 years old", "2"
"Shawn Mendes", "August 27, 2018", "2"
"Shawn Mendes", "Forbes", "2"
"Shawn Mendes", "21", "2"
"Shawn Mendes", "MTV Video Music Awards", "2"
"Shawn Mendes", "March 22, 2018", "2"
"Shawn Mendes", "#", "2"
"Shawn Mendes", "April 26, 2018", "2"
"Shawn Mendes", "May 8, 2018", "2"
"Shawn Mendes", "April 21, 2018", "2"
"Shawn Mendes", "The Late Late Show with", "2"
"Shawn Mendes", "10 28 title", "2"
"Shawn Mendes", "10 28", "2"
"Shawn Mendes", "SHAWN", "2"
"Shawn Mendes", "Los Angeles", "2"
"Shawn Mendes", "Billboard Weatherby Taylor", "2"
"Shawn Mendes", "second year in a row", "2"
"Shawn Mendes", "October 12, 2018", "2"
