Title, Named Entity, Frequency
"Sundar Pichai", "Sundar Pichai", "17"
"Sundar Pichai", "Pichai", "13"
"Sundar Pichai", "Google", "12"
"Sundar Pichai", "India", "8"
"Sundar Pichai", "Alphabet Inc.", "8"
"Sundar Pichai", "Android", "8"
"Sundar Pichai", "China", "8"
"Sundar Pichai", "August 11, 2015", "7"
"Sundar Pichai", "16, 2021", "6"
"Sundar Pichai", "August 10, 2015", "6"
"Sundar Pichai", "August 8, 2017", "6"
"Sundar Pichai", "2020", "5"
"Sundar Pichai", "December 3, 2019", "5"
"Sundar Pichai", "2017", "4"
"Sundar Pichai", "Indian", "4"
"Sundar Pichai", "December 11, 2018", "4"
"Sundar Pichai", "IIT Kharagpur", "3"
"Sundar Pichai", "Alphabet", "3"
"Sundar Pichai", "The Times of India", "3"
"Sundar Pichai", "US", "3"
"Sundar Pichai", "Larry Page", "3"
"Sundar Pichai", "Time", "3"
"Sundar Pichai", "100", "3"
"Sundar Pichai", "Hindu", "3"
"Sundar Pichai", "Cooper  Charles  title", "3"
"Sundar Pichai", "March 14, 2013", "3"
"Sundar Pichai", "March 13, 2013", "3"
"Sundar Pichai", "Microsoft", "3"
"Sundar Pichai", "8, 2017", "3"
"Sundar Pichai", "Verge", "3"
"Sundar Pichai", "December 12, 2020", "3"
"Sundar Pichai", "Padma Bhushan", "3"
"Sundar Pichai", "Indian American", "2"
"Sundar Pichai", "Madurai", "2"
"Sundar Pichai", "Tamil Nadu", "2"
"Sundar Pichai", "United States", "2"
"Sundar Pichai", "Anjali Pichai", "2"
"Sundar Pichai", "Reuters", "2"
"Sundar Pichai", "The Economic Times", "2"
"Sundar Pichai", "Stanford University", "2"
"Sundar Pichai", "MBA", "2"
"Sundar Pichai", "Wharton School of University of Pennsylvania", "2"
"Sundar Pichai", "a Siebel Scholars Siebel Scholar", "2"
"Sundar Pichai", "a Palmer Scholar", "2"
"Sundar Pichai", "2004", "2"
"Sundar Pichai", "Google, & Facts", "2"
"Sundar Pichai", "Encyclopedia Britannica", "2"
"Sundar Pichai", "Gmail", "2"
"Sundar Pichai", "Google Maps", "2"
"Sundar Pichai", "WebM.", "2"
"Sundar Pichai", "Chromebook", "2"
"Sundar Pichai", "2012", "2"
"Sundar Pichai", "October 24, 2015", "2"
"Sundar Pichai", "Silicon Valley", "2"
"Sundar Pichai", "August 12, 2015", "2"
"Sundar Pichai", "CNET  date March 13, 2013", "2"
"Sundar Pichai", "Barcelona", "2"
"Sundar Pichai", "April 29, 2014", "2"
"Sundar Pichai", "BBC", "2"
"Sundar Pichai", "November 19, 2009", "2"
"Sundar Pichai", "November 15, 2012", "2"
"Sundar Pichai", "Andy Rubin", "2"
"Sundar Pichai", "February 3, 2014", "2"
"Sundar Pichai", "10, 2015", "2"
"Sundar Pichai", "Satya Nadella", "2"
"Sundar Pichai", "August 7, 2017", "2"
"Sundar Pichai", "December 4, 2017", "2"
"Sundar Pichai", "December 5, 2017", "2"
"Sundar Pichai", "CNBC", "2"
