Title, Named Entity, Frequency
"Vladimir Putin", "Putin", "698"
"Vladimir Putin", "Russia", "475"
"Vladimir Putin", "Russian", "248"
"Vladimir Putin", "Ukraine", "148"
"Vladimir Putin", "Vladimir Putin", "130"
"Vladimir Putin", "Moscow", "57"
"Vladimir Putin", "Russians", "48"
"Vladimir Putin", "U.S.", "45"
"Vladimir Putin", "Reuters", "35"
"Vladimir Putin", "Guardian", "34"
"Vladimir Putin", "KGB", "33"
"Vladimir Putin", "first", "33"
"Vladimir Putin", "Kremlin", "32"
"Vladimir Putin", "US", "32"
"Vladimir Putin", "BBC News", "32"
"Vladimir Putin", "The New York Times", "30"
"Vladimir Putin", "978", "30"
"Vladimir Putin", "February 2022", "29"
"Vladimir Putin", "Soviet", "29"
"Vladimir Putin", "The Moscow Times", "29"
"Vladimir Putin", "2014", "27"
"Vladimir Putin", "NATO", "26"
"Vladimir Putin", "2016", "25"
"Vladimir Putin", "2012", "23"
"Vladimir Putin", "4", "23"
"Vladimir Putin", "3", "23"
"Vladimir Putin", "Syria", "22"
"Vladimir Putin", "Ukrainian", "21"
"Vladimir Putin", "October 2021", "21"
"Vladimir Putin", "Medvedev", "20"
"Vladimir Putin", "Crimea", "20"
"Vladimir Putin", "2020", "19"
"Vladimir Putin", "2007", "19"
"Vladimir Putin", "United States", "19"
"Vladimir Putin", "London", "18"
"Vladimir Putin", "one", "18"
"Vladimir Putin", "2011", "17"
"Vladimir Putin", "two", "17"
"Vladimir Putin", "Russian Federation", "17"
"Vladimir Putin", "China", "17"
"Vladimir Putin", "Soviet Union", "16"
"Vladimir Putin", "Saint Petersburg", "16"
"Vladimir Putin", "2018", "16"
"Vladimir Putin", "The Washington Post", "16"
"Vladimir Putin", "22", "16"
"Vladimir Putin", "Syrian", "15"
"Vladimir Putin", "Yeltsin", "15"
"Vladimir Putin", "19", "15"
"Vladimir Putin", "2022", "15"
"Vladimir Putin", "11", "15"
"Vladimir Putin", "June 2013", "14"
"Vladimir Putin", "second", "14"
"Vladimir Putin", "BBC", "14"
"Vladimir Putin", "28", "14"
"Vladimir Putin", "Boris Yeltsin", "13"
"Vladimir Putin", "2013", "13"
"Vladimir Putin", "24 February 2022", "13"
"Vladimir Putin", "German", "13"
"Vladimir Putin", "22 June 2013", "13"
"Vladimir Putin", "4 March 2022", "13"
"Vladimir Putin", "2015", "13"
"Vladimir Putin", "23", "12"
"Vladimir Putin", "October 2020", "12"
"Vladimir Putin", "India", "12"
"Vladimir Putin", "Leningrad", "11"
"Vladimir Putin", "November 2021", "11"
"Vladimir Putin", "2004", "11"
"Vladimir Putin", "2005", "11"
"Vladimir Putin", "Time", "11"
"Vladimir Putin", "2017", "11"
"Vladimir Putin", "Vladimir Putin's", "11"
"Vladimir Putin", "November 2020", "11"
"Vladimir Putin", "25", "11"
"Vladimir Putin", "United Russia", "10"
"Vladimir Putin", "Lyudmila", "10"
"Vladimir Putin", "2", "10"
"Vladimir Putin", "December 2021", "10"
"Vladimir Putin", "American", "10"
"Vladimir Putin", "August", "10"
"Vladimir Putin", "Kosovo", "10"
"Vladimir Putin", "26", "9"
