Title, Named Entity, Frequency
"Volkswagen", "Volkswagen", "420"
"Volkswagen", "VW", "58"
"Volkswagen", "Porsche", "32"
"Volkswagen", "Beetle", "31"
"Volkswagen", "first", "31"
"Volkswagen", "Brazil", "31"
"Volkswagen", "China", "28"
"Volkswagen", "September 2020", "27"
"Volkswagen", "September 2015", "24"
"Volkswagen", "Jetta", "24"
"Volkswagen", "Germany", "23"
"Volkswagen", "US", "23"
"Volkswagen", "United States", "22"
"Volkswagen", "German", "21"
"Volkswagen", "January 2017", "17"
"Volkswagen", "22", "17"
"Volkswagen", "July 2017", "17"
"Volkswagen", "EPA", "17"
"Volkswagen", "Brazilian", "16"
"Volkswagen", "27 September 2010", "15"
"Volkswagen", "2", "15"
"Volkswagen", "Golf", "15"
"Volkswagen", "24 July 2017", "14"
"Volkswagen", "Audi", "14"
"Volkswagen", "Wolfsburg", "13"
"Volkswagen", "Europe", "13"
"Volkswagen", "Volkswagen Group", "12"
"Volkswagen", "2019", "12"
"Volkswagen", "second", "11"
"Volkswagen", "2009", "11"
"Volkswagen", "2007", "11"
"Volkswagen", "2018", "11"
"Volkswagen", "two", "10"
"Volkswagen", "2006", "10"
"Volkswagen", "four", "10"
"Volkswagen", "The New York Times", "10"
"Volkswagen", "Canada", "10"
"Volkswagen", "Brasil", "10"
"Volkswagen", "North American", "10"
"Volkswagen", "Polo", "10"
"Volkswagen", "Reuters", "10"
"Volkswagen", "12", "9"
"Volkswagen", "one", "9"
"Volkswagen", "3", "9"
"Volkswagen", "Passat", "9"
"Volkswagen", "2012", "9"
"Volkswagen", "U.S.", "9"
"Volkswagen", "American", "8"
"Volkswagen", "17", "8"
"Volkswagen", "Ford", "8"
"Volkswagen", "2002", "8"
"Volkswagen", "2011", "8"
"Volkswagen", "2005", "8"
"Volkswagen", "2020", "8"
"Volkswagen", "18 September 2015", "8"
"Volkswagen", "BBC News", "7"
"Volkswagen", "Volkswagen AG", "7"
"Volkswagen", "three", "7"
"Volkswagen", "1998", "7"
"Volkswagen", "October 2016", "7"
"Volkswagen", "1", "7"
"Volkswagen", "1973", "7"
"Volkswagen", "2003", "7"
"Volkswagen", "1999", "7"
"Volkswagen", "2008", "7"
"Volkswagen", "Martin Winterkorn", "7"
"Volkswagen", "2013", "7"
"Volkswagen", "2010", "7"
"Volkswagen", "12 December 2010", "7"
"Volkswagen", "2016", "6"
"Volkswagen", "2017", "6"
"Volkswagen", "Hitler", "6"
"Volkswagen", "2015", "6"
"Volkswagen", "1949", "6"
"Volkswagen", "1985", "6"
"Volkswagen", "third", "6"
"Volkswagen", "2025", "6"
"Volkswagen", "November 2020", "6"
"Volkswagen", "23", "6"
"Volkswagen", "November 2016", "6"
"Volkswagen", "Toyota", "5"
"Volkswagen", "May 2013", "5"
"Volkswagen", "Nazi", "5"
"Volkswagen", "May 2011", "5"
"Volkswagen", "1st", "5"
"Volkswagen", "Mexico", "5"
"Volkswagen", "1974", "5"
"Volkswagen", "Volkswagen Passat", "5"
"Volkswagen", "4", "5"
"Volkswagen", "European", "5"
"Volkswagen", "Scirocco", "5"
"Volkswagen", "North America", "5"
"Volkswagen", "2001", "5"
"Volkswagen", "5", "5"
"Volkswagen", "February 2019", "5"
"Volkswagen", "26", "5"
"Volkswagen", "February 2017", "5"
"Volkswagen", "2021", "5"
"Volkswagen", "20", "5"
"Volkswagen", "Jack", "5"
"Volkswagen", "Autonews.com", "5"
"Volkswagen", "British", "4"
"Volkswagen", "UK", "4"
"Volkswagen", "29", "4"
"Volkswagen", "New York", "4"
"Volkswagen", "1990", "4"
"Volkswagen", "America", "4"
"Volkswagen", "2004", "4"
"Volkswagen", "Auto Union", "4"
"Volkswagen", "May 2014", "4"
"Volkswagen", "British Army", "4"
"Volkswagen", "1967", "4"
"Volkswagen", "1976", "4"
"Volkswagen", "10", "4"
"Volkswagen", "1969", "4"
"Volkswagen", "28", "4"
"Volkswagen", "1978", "4"
"Volkswagen", "New Stanton", "4"
"Volkswagen", "1980", "4"
"Volkswagen", "GTI", "4"
"Volkswagen", "SEAT", "4"
"Volkswagen", "five", "4"
"Volkswagen", "Polo Polo", "4"
"Volkswagen", "MPV", "4"
"Volkswagen", "Diesel", "4"
"Volkswagen", "Deutsche Welle", "4"
"Volkswagen", "September 2019", "4"
"Volkswagen", "July 2019", "4"
"Volkswagen", "Automotive News", "4"
"Volkswagen", "The Wall Street Journal", "4"
"Volkswagen", "Financial Times", "4"
"Volkswagen", "October 2015", "4"
"Volkswagen", "October 2007", "4"
"Volkswagen", "October 2013", "4"
"Volkswagen", "Volkswagen Newsroom", "4"
"Volkswagen", "Revista Veja", "4"
"Volkswagen", "26 March 2010", "4"
"Volkswagen", "Dakar Rally", "4"
"Volkswagen", "Motorbuch Verlag", "4"
"Volkswagen", "May 2017", "3"
"Volkswagen", "Berlin", "3"
"Volkswagen", "7", "3"
"Volkswagen", "27", "3"
"Volkswagen", "978", "3"
"Volkswagen", "Porsche AG", "3"
"Volkswagen", "Odin", "3"
"Volkswagen", "One", "3"
"Volkswagen", "1945", "3"
"Volkswagen", "April 1945", "3"
"Volkswagen", "Britain", "3"
"Volkswagen", "Austria", "3"
"Volkswagen", "October 2009", "3"
"Volkswagen", "West Germany", "3"
"Volkswagen", "1970", "3"
"Volkswagen", "Sedan", "3"
"Volkswagen", "1948", "3"
"Volkswagen", "Volkswagens", "3"
"Volkswagen", "Toronto", "3"
"Volkswagen", "1971", "3"
"Volkswagen", "South Africa", "3"
"Volkswagen", "Hanover", "3"
"Volkswagen", "1975", "3"
"Volkswagen", "Three", "3"
"Volkswagen", "Volkswagen Polo", "3"
"Volkswagen", "Latin America", "3"
"Volkswagen", "Pennsylvania", "3"
"Volkswagen", "Motor Trend", "3"
"Volkswagen", "1981", "3"
"Volkswagen", "1983", "3"
"Volkswagen", "1994", "3"
"Volkswagen", "1992", "3"
"Volkswagen", "2.0", "3"
"Volkswagen", "June 2011", "3"
"Volkswagen", "Audi A3", "3"
"Volkswagen", "A5", "3"
"Volkswagen", "Group", "3"
"Volkswagen", "Consumer Reports", "3"
"Volkswagen", "Driver", "3"
"Volkswagen", "United States Environmental Protection Agency", "3"
"Volkswagen", "Touareg Touareg", "3"
"Volkswagen", "Touareg", "3"
"Volkswagen", "October 2017", "3"
"Volkswagen", "Bloomberg", "3"
"Volkswagen", "September 2018", "3"
"Volkswagen", "January 2021", "3"
"Volkswagen", "GB", "3"
"Volkswagen", "India", "3"
"Volkswagen", "Argentina", "3"
"Volkswagen", "25", "3"
"Volkswagen", "December 2011", "3"
"Volkswagen", "6", "3"
"Volkswagen", "20%", "3"
"Volkswagen", "European Court of Justice", "3"
"Volkswagen", "EU", "3"
"Volkswagen", "February 2013", "3"
"Volkswagen", "Porsche Holding Salzburg", "3"
"Volkswagen", "8", "3"
"Volkswagen", "August", "3"
"Volkswagen", "Viloran", "3"
"Volkswagen", "brazil", "3"
"Volkswagen", "Bastos", "3"
"Volkswagen", "29 November 2008", "3"
"Volkswagen", "18 October 2008", "3"
"Volkswagen", "08", "3"
"Volkswagen", "– Vendas Atacado Mercado", "3"
"Volkswagen", "Associação Nacional", "3"
"Volkswagen", "de Veículos Automotores", "3"
"Volkswagen", "16 April 2009", "3"
"Volkswagen", "July 2011", "3"
"Volkswagen", "1 November 2016", "3"
