Title, Named Entity, Sentence
Selena Gomez, Selena Gomez, Selena Gomez
short description American singer, actress, and producer
pp 30 500 small yes
Use American English date December 2020
Use mdy dates date January 2021
<!
Selena Gomez, American, Selena Gomez
short description American singer, actress, and producer
pp 30 500 small yes
Use American English date December 2020
Use mdy dates date January 2021
<!
Selena Gomez, 30 500, Selena Gomez
short description American singer, actress, and producer
pp 30 500 small yes
Use American English date December 2020
Use mdy dates date January 2021
<!
Selena Gomez, American, Selena Gomez
short description American singer, actress, and producer
pp 30 500 small yes
Use American English date December 2020
Use mdy dates date January 2021
<!
Selena Gomez, English, Selena Gomez
short description American singer, actress, and producer
pp 30 500 small yes
Use American English date December 2020
Use mdy dates date January 2021
<!
Selena Gomez, December 2020, Selena Gomez
short description American singer, actress, and producer
pp 30 500 small yes
Use American English date December 2020
Use mdy dates date January 2021
<!
Selena Gomez, mdy, Selena Gomez
short description American singer, actress, and producer
pp 30 500 small yes
Use American English date December 2020
Use mdy dates date January 2021
<!
Selena Gomez, January 2021, Selena Gomez
short description American singer, actress, and producer
pp 30 500 small yes
Use American English date December 2020
Use mdy dates date January 2021
<!
Selena Gomez, Selena Gomez, NOTE  Do not replace 191125 Selena Gomez at 2019 American Music Awards (cropped).png unless it is with a photo under a public domain or free license (meaning NOT fair use).
Selena Gomez, 2019, NOTE  Do not replace 191125 Selena Gomez at 2019 American Music Awards (cropped).png unless it is with a photo under a public domain or free license (meaning NOT fair use).
Selena Gomez, American Music Awards, NOTE  Do not replace 191125 Selena Gomez at 2019 American Music Awards (cropped).png unless it is with a photo under a public domain or free license (meaning NOT fair use).
Selena Gomez, Selena Gomez, See Wikipedia Fair use criteria   >
Infobox person
  name                 Selena Gomez
  image                Selena Gomez Beauty Secrets (cropped).png
  caption              Gomez in 2021
  alt                  Gomez for Vogue in 2021, with dark hair 
  birth_name           Selena Marie Gomez
  birth_date           Birth date and age 1992 7 22
  birth_place          Grand Prairie, Texas, U.S.
  occupation           hlist Singer actress songwriter producer
  years_active         2002–present
  works                hlist Selena Gomez discography Solo discographyefn For her discography as Selena Gomez & Scene, see Selena Gomez & Scene discography.
Selena Gomez, 2021, See Wikipedia Fair use criteria   >
Infobox person
  name                 Selena Gomez
  image                Selena Gomez Beauty Secrets (cropped).png
  caption              Gomez in 2021
  alt                  Gomez for Vogue in 2021, with dark hair 
  birth_name           Selena Marie Gomez
  birth_date           Birth date and age 1992 7 22
  birth_place          Grand Prairie, Texas, U.S.
  occupation           hlist Singer actress songwriter producer
  years_active         2002–present
  works                hlist Selena Gomez discography Solo discographyefn For her discography as Selena Gomez & Scene, see Selena Gomez & Scene discography.
Selena Gomez, Vogue, See Wikipedia Fair use criteria   >
Infobox person
  name                 Selena Gomez
  image                Selena Gomez Beauty Secrets (cropped).png
  caption              Gomez in 2021
  alt                  Gomez for Vogue in 2021, with dark hair 
  birth_name           Selena Marie Gomez
  birth_date           Birth date and age 1992 7 22
  birth_place          Grand Prairie, Texas, U.S.
  occupation           hlist Singer actress songwriter producer
  years_active         2002–present
  works                hlist Selena Gomez discography Solo discographyefn For her discography as Selena Gomez & Scene, see Selena Gomez & Scene discography.
Selena Gomez, 2021, See Wikipedia Fair use criteria   >
Infobox person
  name                 Selena Gomez
  image                Selena Gomez Beauty Secrets (cropped).png
  caption              Gomez in 2021
  alt                  Gomez for Vogue in 2021, with dark hair 
  birth_name           Selena Marie Gomez
  birth_date           Birth date and age 1992 7 22
  birth_place          Grand Prairie, Texas, U.S.
  occupation           hlist Singer actress songwriter producer
  years_active         2002–present
  works                hlist Selena Gomez discography Solo discographyefn For her discography as Selena Gomez & Scene, see Selena Gomez & Scene discography.
Selena Gomez, Marie Gomez, See Wikipedia Fair use criteria   >
Infobox person
  name                 Selena Gomez
  image                Selena Gomez Beauty Secrets (cropped).png
  caption              Gomez in 2021
  alt                  Gomez for Vogue in 2021, with dark hair 
  birth_name           Selena Marie Gomez
  birth_date           Birth date and age 1992 7 22
  birth_place          Grand Prairie, Texas, U.S.
  occupation           hlist Singer actress songwriter producer
  years_active         2002–present
  works                hlist Selena Gomez discography Solo discographyefn For her discography as Selena Gomez & Scene, see Selena Gomez & Scene discography.
Selena Gomez, age 1992 7, See Wikipedia Fair use criteria   >
Infobox person
  name                 Selena Gomez
  image                Selena Gomez Beauty Secrets (cropped).png
  caption              Gomez in 2021
  alt                  Gomez for Vogue in 2021, with dark hair 
  birth_name           Selena Marie Gomez
  birth_date           Birth date and age 1992 7 22
  birth_place          Grand Prairie, Texas, U.S.
  occupation           hlist Singer actress songwriter producer
  years_active         2002–present
  works                hlist Selena Gomez discography Solo discographyefn For her discography as Selena Gomez & Scene, see Selena Gomez & Scene discography.
Selena Gomez, 22, See Wikipedia Fair use criteria   >
Infobox person
  name                 Selena Gomez
  image                Selena Gomez Beauty Secrets (cropped).png
  caption              Gomez in 2021
  alt                  Gomez for Vogue in 2021, with dark hair 
  birth_name           Selena Marie Gomez
  birth_date           Birth date and age 1992 7 22
  birth_place          Grand Prairie, Texas, U.S.
  occupation           hlist Singer actress songwriter producer
  years_active         2002–present
  works                hlist Selena Gomez discography Solo discographyefn For her discography as Selena Gomez & Scene, see Selena Gomez & Scene discography.
Selena Gomez, Grand Prairie, See Wikipedia Fair use criteria   >
Infobox person
  name                 Selena Gomez
  image                Selena Gomez Beauty Secrets (cropped).png
  caption              Gomez in 2021
  alt                  Gomez for Vogue in 2021, with dark hair 
  birth_name           Selena Marie Gomez
  birth_date           Birth date and age 1992 7 22
  birth_place          Grand Prairie, Texas, U.S.
  occupation           hlist Singer actress songwriter producer
  years_active         2002–present
  works                hlist Selena Gomez discography Solo discographyefn For her discography as Selena Gomez & Scene, see Selena Gomez & Scene discography.
Selena Gomez, Texas, See Wikipedia Fair use criteria   >
Infobox person
  name                 Selena Gomez
  image                Selena Gomez Beauty Secrets (cropped).png
  caption              Gomez in 2021
  alt                  Gomez for Vogue in 2021, with dark hair 
  birth_name           Selena Marie Gomez
  birth_date           Birth date and age 1992 7 22
  birth_place          Grand Prairie, Texas, U.S.
  occupation           hlist Singer actress songwriter producer
  years_active         2002–present
  works                hlist Selena Gomez discography Solo discographyefn For her discography as Selena Gomez & Scene, see Selena Gomez & Scene discography.
Selena Gomez, U.S., See Wikipedia Fair use criteria   >
Infobox person
  name                 Selena Gomez
  image                Selena Gomez Beauty Secrets (cropped).png
  caption              Gomez in 2021
  alt                  Gomez for Vogue in 2021, with dark hair 
  birth_name           Selena Marie Gomez
  birth_date           Birth date and age 1992 7 22
  birth_place          Grand Prairie, Texas, U.S.
  occupation           hlist Singer actress songwriter producer
  years_active         2002–present
  works                hlist Selena Gomez discography Solo discographyefn For her discography as Selena Gomez & Scene, see Selena Gomez & Scene discography.
Selena Gomez, Singer, See Wikipedia Fair use criteria   >
Infobox person
  name                 Selena Gomez
  image                Selena Gomez Beauty Secrets (cropped).png
  caption              Gomez in 2021
  alt                  Gomez for Vogue in 2021, with dark hair 
  birth_name           Selena Marie Gomez
  birth_date           Birth date and age 1992 7 22
  birth_place          Grand Prairie, Texas, U.S.
  occupation           hlist Singer actress songwriter producer
  years_active         2002–present
  works                hlist Selena Gomez discography Solo discographyefn For her discography as Selena Gomez & Scene, see Selena Gomez & Scene discography.
Selena Gomez, 2002, See Wikipedia Fair use criteria   >
Infobox person
  name                 Selena Gomez
  image                Selena Gomez Beauty Secrets (cropped).png
  caption              Gomez in 2021
  alt                  Gomez for Vogue in 2021, with dark hair 
  birth_name           Selena Marie Gomez
  birth_date           Birth date and age 1992 7 22
  birth_place          Grand Prairie, Texas, U.S.
  occupation           hlist Singer actress songwriter producer
  years_active         2002–present
  works                hlist Selena Gomez discography Solo discographyefn For her discography as Selena Gomez & Scene, see Selena Gomez & Scene discography.
Selena Gomez, Selena Gomez, See Wikipedia Fair use criteria   >
Infobox person
  name                 Selena Gomez
  image                Selena Gomez Beauty Secrets (cropped).png
  caption              Gomez in 2021
  alt                  Gomez for Vogue in 2021, with dark hair 
  birth_name           Selena Marie Gomez
  birth_date           Birth date and age 1992 7 22
  birth_place          Grand Prairie, Texas, U.S.
  occupation           hlist Singer actress songwriter producer
  years_active         2002–present
  works                hlist Selena Gomez discography Solo discographyefn For her discography as Selena Gomez & Scene, see Selena Gomez & Scene discography.
Selena Gomez, Selena Gomez & Scene, See Wikipedia Fair use criteria   >
Infobox person
  name                 Selena Gomez
  image                Selena Gomez Beauty Secrets (cropped).png
  caption              Gomez in 2021
  alt                  Gomez for Vogue in 2021, with dark hair 
  birth_name           Selena Marie Gomez
  birth_date           Birth date and age 1992 7 22
  birth_place          Grand Prairie, Texas, U.S.
  occupation           hlist Singer actress songwriter producer
  years_active         2002–present
  works                hlist Selena Gomez discography Solo discographyefn For her discography as Selena Gomez & Scene, see Selena Gomez & Scene discography.
Selena Gomez, Selena Gomez & Scene, See Wikipedia Fair use criteria   >
Infobox person
  name                 Selena Gomez
  image                Selena Gomez Beauty Secrets (cropped).png
  caption              Gomez in 2021
  alt                  Gomez for Vogue in 2021, with dark hair 
  birth_name           Selena Marie Gomez
  birth_date           Birth date and age 1992 7 22
  birth_place          Grand Prairie, Texas, U.S.
  occupation           hlist Singer actress songwriter producer
  years_active         2002–present
  works                hlist Selena Gomez discography Solo discographyefn For her discography as Selena Gomez & Scene, see Selena Gomez & Scene discography.
Selena Gomez, Selena Gomez, List of songs recorded by Selena Gomez songs recorded List of Selena Gomez live performances live performances Selena Gomez videography videography
  awards               List of awards and nominations received by Selena Gomez Full list
  module               Infobox musical artist
  embed              yes
  genre              hlist Pop music Pop dance pop electropop
  instrument         hlist Vocals<!
Selena Gomez, Selena Gomez, List of songs recorded by Selena Gomez songs recorded List of Selena Gomez live performances live performances Selena Gomez videography videography
  awards               List of awards and nominations received by Selena Gomez Full list
  module               Infobox musical artist
  embed              yes
  genre              hlist Pop music Pop dance pop electropop
  instrument         hlist Vocals<!
Selena Gomez, Selena Gomez Full, List of songs recorded by Selena Gomez songs recorded List of Selena Gomez live performances live performances Selena Gomez videography videography
  awards               List of awards and nominations received by Selena Gomez Full list
  module               Infobox musical artist
  embed              yes
  genre              hlist Pop music Pop dance pop electropop
  instrument         hlist Vocals<!
Selena Gomez, WP, The instruments infobox parameter is not intended as a WP COATRACK for every instrument subject has ever used.
Selena Gomez, first, If you think an instrument should be listed or removed, a discussion to reach consensus is needed first per    label              hlist Walt Disney Records Walt Disney Hollywood Records Hollywood Interscope Records Interscope
  associated_acts    hlist Selena Gomez & Scene Julia Michaels Rock Mafia DJ Snake
  website            URL selenagomez.com



'Selena Marie Gomez' (IPAc en s ə ' l iː n ə _ ' g oʊ m ɛ z respell sə LEE nə _ GOH mez; born July 22, 1992) is an American singer, actress, and producer.
Selena Gomez, Walt Disney Records Walt Disney Hollywood Records, If you think an instrument should be listed or removed, a discussion to reach consensus is needed first per    label              hlist Walt Disney Records Walt Disney Hollywood Records Hollywood Interscope Records Interscope
  associated_acts    hlist Selena Gomez & Scene Julia Michaels Rock Mafia DJ Snake
  website            URL selenagomez.com



'Selena Marie Gomez' (IPAc en s ə ' l iː n ə _ ' g oʊ m ɛ z respell sə LEE nə _ GOH mez; born July 22, 1992) is an American singer, actress, and producer.
Selena Gomez, Hollywood, If you think an instrument should be listed or removed, a discussion to reach consensus is needed first per    label              hlist Walt Disney Records Walt Disney Hollywood Records Hollywood Interscope Records Interscope
  associated_acts    hlist Selena Gomez & Scene Julia Michaels Rock Mafia DJ Snake
  website            URL selenagomez.com



'Selena Marie Gomez' (IPAc en s ə ' l iː n ə _ ' g oʊ m ɛ z respell sə LEE nə _ GOH mez; born July 22, 1992) is an American singer, actress, and producer.
Selena Gomez, Selena Gomez & Scene, If you think an instrument should be listed or removed, a discussion to reach consensus is needed first per    label              hlist Walt Disney Records Walt Disney Hollywood Records Hollywood Interscope Records Interscope
  associated_acts    hlist Selena Gomez & Scene Julia Michaels Rock Mafia DJ Snake
  website            URL selenagomez.com



'Selena Marie Gomez' (IPAc en s ə ' l iː n ə _ ' g oʊ m ɛ z respell sə LEE nə _ GOH mez; born July 22, 1992) is an American singer, actress, and producer.
Selena Gomez, Marie Gomez', If you think an instrument should be listed or removed, a discussion to reach consensus is needed first per    label              hlist Walt Disney Records Walt Disney Hollywood Records Hollywood Interscope Records Interscope
  associated_acts    hlist Selena Gomez & Scene Julia Michaels Rock Mafia DJ Snake
  website            URL selenagomez.com



'Selena Marie Gomez' (IPAc en s ə ' l iː n ə _ ' g oʊ m ɛ z respell sə LEE nə _ GOH mez; born July 22, 1992) is an American singer, actress, and producer.
Selena Gomez, s ə ', If you think an instrument should be listed or removed, a discussion to reach consensus is needed first per    label              hlist Walt Disney Records Walt Disney Hollywood Records Hollywood Interscope Records Interscope
  associated_acts    hlist Selena Gomez & Scene Julia Michaels Rock Mafia DJ Snake
  website            URL selenagomez.com



'Selena Marie Gomez' (IPAc en s ə ' l iː n ə _ ' g oʊ m ɛ z respell sə LEE nə _ GOH mez; born July 22, 1992) is an American singer, actress, and producer.
Selena Gomez, LEE nə, If you think an instrument should be listed or removed, a discussion to reach consensus is needed first per    label              hlist Walt Disney Records Walt Disney Hollywood Records Hollywood Interscope Records Interscope
  associated_acts    hlist Selena Gomez & Scene Julia Michaels Rock Mafia DJ Snake
  website            URL selenagomez.com



'Selena Marie Gomez' (IPAc en s ə ' l iː n ə _ ' g oʊ m ɛ z respell sə LEE nə _ GOH mez; born July 22, 1992) is an American singer, actress, and producer.
