Title, Named Entity, Frequency
"Barack Obama", "first", "217"
"Barack Obama", "United States", "92"
"Barack Obama", "U.S.", "89"
"Barack Obama", "The New York Times", "74"
"Barack Obama", "Chicago", "39"
"Barack Obama", "CNN", "39"
"Barack Obama", "2012", "37"
"Barack Obama", "Illinois", "35"
"Barack Obama", "2009", "34"
"Barack Obama", "The Washington Post", "34"
"Barack Obama", "Iraq", "33"
"Barack Obama", "US", "31"
"Barack Obama", "Senate", "30"
"Barack Obama", "Associated Press", "28"
"Barack Obama", "New York", "27"
"Barack Obama", "Barack Obama", "26"
"Barack Obama", "2004", "26"
"Barack Obama", "White House", "25"
"Barack Obama", "2011", "25"
"Barack Obama", "American", "24"
"Barack Obama", "Chicago Tribune", "24"
"Barack Obama", "Congress", "22"
"Barack Obama", "Barack", "21"
"Barack Obama", "Democratic", "21"
"Barack Obama", "Iran", "20"
"Barack Obama", "1995", "19"
"Barack Obama", "Scott", "19"
"Barack Obama", "2010", "18"
"Barack Obama", "Afghanistan", "18"
"Barack Obama", "Libya", "18"
"Barack Obama", "978", "18"
"Barack Obama", "BBC News", "18"
"Barack Obama", "2016", "17"
"Barack Obama", "2007", "17"
"Barack Obama", "April 27, 2008", "17"
"Barack Obama", "U.S. Senate", "16"
"Barack Obama", "Obama", "16"
"Barack Obama", "Joe Biden", "15"
"Barack Obama", "NBC News", "15"
"Barack Obama", "London", "15"
"Barack Obama", "Washington", "14"
"Barack Obama", "Supreme Court", "14"
"Barack Obama", "Russia", "14"
"Barack Obama", "Guardian", "14"
"Barack Obama", "Los Angeles Times", "13"
"Barack Obama", "1", "13"
"Barack Obama", "America", "13"
"Barack Obama", "Christian", "13"
"Barack Obama", "June 15, 2008", "13"
"Barack Obama", "December 18, 2008", "13"
"Barack Obama", "Democratic Party", "12"
"Barack Obama", "Republican", "12"
"Barack Obama", "The Huffington Post", "12"
"Barack Obama", "7", "12"
"Barack Obama", "April 20, 2008", "12"
"Barack Obama", "Bush", "12"
"Barack Obama", "July 5, 2015", "12"
"Barack Obama", "Israel", "12"
"Barack Obama", "Obama Barack", "12"
"Barack Obama", "D.C.", "11"
"Barack Obama", "2014", "11"
"Barack Obama", "Syria", "11"
"Barack Obama", "Cuba", "11"
"Barack Obama", "Time", "11"
"Barack Obama", "Chicago Sun Times", "11"
"Barack Obama", "Reuters", "11"
"Barack Obama", "Israeli", "11"
"Barack Obama", "Hawaii", "10"
"Barack Obama", "Illinois Senate", "10"
"Barack Obama", "Osama bin Laden", "10"
"Barack Obama", "2020", "10"
"Barack Obama", "Barack Obama's", "10"
"Barack Obama", "The Boston Globe", "10"
"Barack Obama", "Democrats", "10"
"Barack Obama", "Trump", "10"
"Barack Obama", "2008", "9"
"Barack Obama", "two", "9"
"Barack Obama", "Biden", "9"
"Barack Obama", "2006", "9"
"Barack Obama", "NPR", "9"
"Barack Obama", "May 18, 2012", "9"
"Barack Obama", "NARA National Archives", "9"
"Barack Obama", "December 22, 2010", "9"
"Barack Obama", "Jeff", "9"
"Barack Obama", "March 22, 2011", "9"
"Barack Obama", "January 20, 2009", "8"
"Barack Obama", "United States Senate", "8"
"Barack Obama", "Russian", "8"
"Barack Obama", "Indonesian", "8"
"Barack Obama", "June 24, 2008", "8"
"Barack Obama", "April 28, 2008", "8"
"Barack Obama", "State", "8"
"Barack Obama", "Hill", "8"
"Barack Obama", "House", "8"
"Barack Obama", "July 14, 2015", "8"
"Barack Obama", "George W. Bush", "7"
"Barack Obama", "Honolulu", "7"
"Barack Obama", "ACA", "7"
"Barack Obama", "second", "7"
