Title, Named Entity, Frequency
"Bill Gates", "Gates", "142"
"Bill Gates", "Bill Gates", "99"
"Bill Gates", "Microsoft", "89"
"Bill Gates", "Bill", "23"
"Bill Gates", "first", "19"
"Bill Gates", "Allen", "18"
"Bill Gates", "US", "17"
"Bill Gates", "IBM", "17"
"Bill Gates", "Melinda Gates", "16"
"Bill Gates", "Epstein", "16"
"Bill Gates", "2021", "14"
"Bill Gates", "Washington", "13"
"Bill Gates", "1994", "13"
"Bill Gates", "Seattle", "12"
"Bill Gates", "American", "11"
"Bill Gates", "19", "11"
"Bill Gates", "one", "11"
"Bill Gates", "Melinda", "11"
"Bill Gates", "2017", "10"
"Bill Gates", "Forbes", "10"
"Bill Gates", "The New York Times", "10"
"Bill Gates", "1996", "10"
"Bill Gates", "Harvard", "10"
"Bill Gates", "Paul Allen", "9"
"Bill Gates", "March 31, 2008", "9"
"Bill Gates", "United States", "9"
"Bill Gates", "2007", "9"
"Bill Gates", "Bill & Melinda Gates Foundation", "8"
"Bill Gates", "CNBC", "8"
"Bill Gates", "2019", "8"
"Bill Gates", "2009", "8"
"Bill Gates", "Jeffrey Epstein", "8"
"Bill Gates", "Bill Gates'", "7"
"Bill Gates", "2013", "7"
"Bill Gates", "MITS", "7"
"Bill Gates", "America", "7"
"Bill Gates", "Gates Foundation", "7"
"Bill Gates", "1999", "7"
"Bill Gates", "2016", "6"
"Bill Gates", "2010", "6"
"Bill Gates", "three", "6"
"Bill Gates", "leibovich20001231", "6"
"Bill Gates", "1", "6"
"Bill Gates", "Time", "6"
"Bill Gates", "1998", "6"
"Bill Gates", "BBC News", "6"
"Bill Gates", "Reuters", "6"
"Bill Gates", "U.S.", "5"
"Bill Gates", "Berkshire Hathaway", "5"
"Bill Gates", "2000", "5"
"Bill Gates", "Africa", "5"
"Bill Gates", "12", "5"
"Bill Gates", "Lakeside School", "5"
"Bill Gates", "Steve Jobs", "5"
"Bill Gates", "Bill Gates's", "5"
"Bill Gates", "BBC", "5"
"Bill Gates", "22", "5"
"Bill Gates", "India", "5"
"Bill Gates", "2005", "5"
"Bill Gates", "France", "5"
"Bill Gates", "British", "4"
"Bill Gates", "Cascade Investment", "4"
"Bill Gates", "2", "4"
"Bill Gates", "1987", "4"
"Bill Gates", "Amazon", "4"
"Bill Gates", "Guardian", "4"
"Bill Gates", "London", "4"
"Bill Gates", "2020", "4"
"Bill Gates", "Warren Buffett", "4"
"Bill Gates", "100", "4"
"Bill Gates", "March 10, 2011", "4"
"Bill Gates", "978", "4"
"Bill Gates", "CCC", "4"
"Bill Gates", "2014", "4"
"Bill Gates", "February 18, 2008", "4"
"Bill Gates", "two", "4"
"Bill Gates", "2006", "4"
"Bill Gates", "May 22, 2021", "4"
"Bill Gates", "May 3, 2021", "4"
"Bill Gates", "April 2021", "4"
"Bill Gates", "2015", "4"
"Bill Gates", "12, 2020", "4"
"Bill Gates", "2011", "4"
"Bill Gates", "January 2, 2022", "4"
"Bill Gates", "Melinda Gates Foundation", "4"
"Bill Gates", "second", "4"
"Bill Gates", "Los Angeles Times", "4"
"Bill Gates", "1997", "4"
"Bill Gates", "2002", "4"
"Bill Gates", "1990", "4"
"Bill Gates", "FAQ", "3"
"Bill Gates", "Breakthrough Energy", "3"
"Bill Gates", "5", "3"
"Bill Gates", "August 15, 2017", "3"
"Bill Gates", "26", "3"
"Bill Gates", "1975", "3"
"Bill Gates", "Albuquerque", "3"
"Bill Gates", "4", "3"
"Bill Gates", "Steve Ballmer", "3"
"Bill Gates", "Satya Nadella", "3"
"Bill Gates", "Jeff Bezos", "3"
"Bill Gates", "fourth", "3"
"Bill Gates", "Bloomberg", "3"
"Bill Gates", "20, 2021", "3"
"Bill Gates", "Fortune", "3"
"Bill Gates", "William H. Gates", "3"
"Bill Gates", "The Washington Post", "3"
"Bill Gates", "World", "3"
"Bill Gates", "13", "3"
"Bill Gates", "Lakeside", "3"
"Bill Gates", "3", "3"
"Bill Gates", "October 25, 2015", "3"
"Bill Gates", "8", "3"
"Bill Gates", "DOS", "3"
"Bill Gates", "The Wall Street Journal", "3"
"Bill Gates", "March 30, 2008", "3"
"Bill Gates", "3, 2014", "3"
"Bill Gates", "February 4, 2014", "3"
"Bill Gates", "4, 2014", "3"
"Bill Gates", "5, 2021", "3"
"Bill Gates", "New York Times", "3"
"Bill Gates", "Earth", "3"
"Bill Gates", "2012", "3"
"Bill Gates", "Wyoming", "3"
"Bill Gates", "D.C.", "3"
"Bill Gates", "7, 2014", "3"
"Bill Gates", "April 6, 2014", "3"
"Bill Gates", "Americans", "3"
"Bill Gates", "year 2014", "3"
"Bill Gates", "Singapore", "3"
"Bill Gates", "half", "3"
"Bill Gates", "m2", "3"
"Bill Gates", "June 9, 2010", "3"
"Bill Gates", "Times", "3"
"Bill Gates", "June 30, 2013", "3"
"Bill Gates", "Silicon Valley", "3"
"Bill Gates", "New York City", "3"
"Bill Gates", "English", "2"
"Bill Gates", "March 2020", "2"
"Bill Gates", "Harvard University", "2"
"Bill Gates", "1972", "2"
"Bill Gates", "Branded Entertainment Network", "2"
"Bill Gates", "TerraPower", "2"
"Bill Gates", "Mary Maxwell", "2"
"Bill Gates", "Presidential Medal of Freedom", "2"
"Bill Gates", "Pakistan", "2"
"Bill Gates", "2022", "2"
"Bill Gates", "October 28, 1955", "2"
"Bill Gates", "11", "2"
"Bill Gates", "New Mexico", "2"
"Bill Gates", "10, 2016", "2"
"Bill Gates", "21, 2016", "2"
"Bill Gates", "Haselton", "2"
"Bill Gates", "March 13, 2020", "2"
"Bill Gates", "October 2017", "2"
"Bill Gates", "11, 2018", "2"
"Bill Gates", "at least half", "2"
"Bill Gates", "Mary Maxwell Gates", "2"
"Bill Gates", "64", "2"
"Bill Gates", "June 11, 1994", "2"
"Bill Gates", "April 3, 2020", "2"
"Bill Gates", "Telegraph", "2"
"Bill Gates", "15", "2"
"Bill Gates", "June 24, 2019", "2"
"Bill Gates", "471", "2"
"Bill Gates", "1970", "2"
"Bill Gates", "eighth", "2"
"Bill Gates", "GE", "2"
"Bill Gates", "27", "2"
"Bill Gates", "One", "2"
"Bill Gates", "Ric Weiland", "2"
"Bill Gates", "Evans", "2"
"Bill Gates", "1973", "2"
"Bill Gates", "two years", "2"
"Bill Gates", "Ballmer", "2"
"Bill Gates", "Michael", "2"
"Bill Gates", "Kestenbaum2008", "2"
"Bill Gates", "September 17, 2008", "2"
"Bill Gates", "1993", "2"
"Bill Gates", "18", "2"
"Bill Gates", "Ed Roberts", "2"
"Bill Gates", "1981", "2"
"Bill Gates", "bunnell1982febmar", "2"
"Bill Gates", "20, 2016", "2"
"Bill Gates", "Digital Research", "2"
"Bill Gates", "John Steele", "2"
"Bill Gates", "Gordon", "2"
"Bill Gates", "86", "2"
