Title, Named Entity, Frequency
"Brad Pitt", "Pitt", "126"
"Brad Pitt", "Brad Pitt", "77"
"Brad Pitt", "Jolie", "41"
"Brad Pitt", "first", "21"
"Brad Pitt", "CNN", "19"
"Brad Pitt", "Hollywood", "17"
"Brad Pitt", "October 15, 2008", "17"
"Brad Pitt", "The New York Times", "15"
"Brad Pitt", "American", "14"
"Brad Pitt", "Brad Pitt's", "13"
"Brad Pitt", "Seven", "11"
"Brad Pitt", "1995", "11"
"Brad Pitt", "UK", "11"
"Brad Pitt", "Angelina Jolie", "10"
"Brad Pitt", "Academy Award", "10"
"Brad Pitt", "Fight Club", "10"
"Brad Pitt", "Guardian", "9"
"Brad Pitt", "two", "9"
"Brad Pitt", "second", "9"
"Brad Pitt", "2005", "9"
"Brad Pitt", "1", "9"
"Brad Pitt", "Aniston", "9"
"Brad Pitt", "Associated Press", "8"
"Brad Pitt", "Smith", "8"
"Brad Pitt", "2006", "8"
"Brad Pitt", "2009", "8"
"Brad Pitt", "2017", "8"
"Brad Pitt", "BBC News", "8"
"Brad Pitt", "Metacritic", "8"
"Brad Pitt", "California", "8"
"Brad Pitt", "2020", "8"
"Brad Pitt", "2019", "7"
"Brad Pitt", "1987", "7"
"Brad Pitt", "Vampire", "7"
"Brad Pitt", "2001", "7"
"Brad Pitt", "Ocean", "7"
"Brad Pitt", "Moneyball", "7"
"Brad Pitt", "Fox News", "7"
"Brad Pitt", "MTV", "7"
"Brad Pitt", "Entertainment Weekly", "7"
"Brad Pitt", "February 25, 2009", "7"
"Brad Pitt", "Janet Maslin", "7"
"Brad Pitt", "San Francisco Chronicle", "7"
"Brad Pitt", "Jolie Pitt", "7"
"Brad Pitt", "2007", "6"
"Brad Pitt", "World War Z", "6"
"Brad Pitt", "The Curious Case of Benjamin Button", "6"
"Brad Pitt", "Academy Awards", "6"
"Brad Pitt", "6, 2014", "6"
"Brad Pitt", "Los Angeles", "6"
"Brad Pitt", "978", "6"
"Brad Pitt", "Rotten Tomatoes", "6"
"Brad Pitt", "2", "6"
"Brad Pitt", "Variety", "6"
"Brad Pitt", "one", "6"
"Brad Pitt", "November 14, 2008", "6"
"Brad Pitt", "Time", "6"
"Brad Pitt", "100", "6"
"Brad Pitt", "U.S.", "5"
"Brad Pitt", "Jennifer Aniston", "5"
"Brad Pitt", "Plan B Entertainment", "5"
"Brad Pitt", "1991", "5"
"Brad Pitt", "2004", "5"
"Brad Pitt", "&", "5"
"Brad Pitt", "2013", "5"
"Brad Pitt", "2008", "5"
"Brad Pitt", "Brad", "5"
"Brad Pitt", "2012", "5"
"Brad Pitt", "October 30, 2008", "5"
"Brad Pitt", "October 14, 2008", "5"
"Brad Pitt", "1997", "5"
"Brad Pitt", "December 16, 2008", "5"
"Brad Pitt", "Irish", "5"
"Brad Pitt", "Salon.com", "5"
"Brad Pitt", "March 26, 2009", "5"
"Brad Pitt", "Rusty Ryan", "5"
"Brad Pitt", "CBS News", "5"
"Brad Pitt", "May 15, 2008", "5"
"Brad Pitt", "France", "5"
"Brad Pitt", "2021", "5"
"Brad Pitt", "January 14, 2010", "5"
"Brad Pitt", "1&nbsp;million", "5"
"Brad Pitt", "New Orleans", "5"
"Brad Pitt", "November 12, 2021", "5"
"Brad Pitt", "1994", "4"
