Title, Named Entity, Frequency
"Cristiano Ronaldo", "Ronaldo", "324"
"Cristiano Ronaldo", "Portugal", "167"
"Cristiano Ronaldo", "first", "103"
"Cristiano Ronaldo", "Cristiano Ronaldo", "97"
"Cristiano Ronaldo", "BBC Sport", "70"
"Cristiano Ronaldo", "London", "68"
"Cristiano Ronaldo", "Real Madrid", "66"
"Cristiano Ronaldo", "Juventus", "63"
"Cristiano Ronaldo", "Madrid", "62"
"Cristiano Ronaldo", "Guardian", "57"
"Cristiano Ronaldo", "2", "56"
"Cristiano Ronaldo", "ESPN", "53"
"Cristiano Ronaldo", "second", "52"
"Cristiano Ronaldo", "two", "51"
"Cristiano Ronaldo", "United", "47"
"Cristiano Ronaldo", "Manchester United", "40"
"Cristiano Ronaldo", "Messi", "39"
"Cristiano Ronaldo", "2017", "37"
"Cristiano Ronaldo", "Champions League", "37"
"Cristiano Ronaldo", "La Liga", "35"
"Cristiano Ronaldo", "6 January 2019", "34"
"Cristiano Ronaldo", "3", "32"
"Cristiano Ronaldo", "World Cup", "31"
"Cristiano Ronaldo", "7", "31"
"Cristiano Ronaldo", "three", "29"
"Cristiano Ronaldo", "2014", "29"
"Cristiano Ronaldo", "four", "28"
"Cristiano Ronaldo", "BBC", "28"
"Cristiano Ronaldo", "27", "26"
"Cristiano Ronaldo", "2016", "26"
"Cristiano Ronaldo", "Spain", "26"
"Cristiano Ronaldo", "12", "26"
"Cristiano Ronaldo", "22", "26"
"Cristiano Ronaldo", "28", "26"
"Cristiano Ronaldo", "Sky Sports", "26"
"Cristiano Ronaldo", "Cristiano Ronaldo's", "24"
"Cristiano Ronaldo", "August 2021", "24"
"Cristiano Ronaldo", "European", "23"
"Cristiano Ronaldo", "2018", "22"
"Cristiano Ronaldo", "Serie A", "22"
"Cristiano Ronaldo", "one", "21"
"Cristiano Ronaldo", "30 August 2014", "21"
"Cristiano Ronaldo", "27 August 2014", "21"
"Cristiano Ronaldo", "11", "20"
"Cristiano Ronaldo", "4", "20"
"Cristiano Ronaldo", "2–1", "20"
"Cristiano Ronaldo", "FIFA World Cup", "20"
"Cristiano Ronaldo", "5", "19"
"Cristiano Ronaldo", "third", "19"
"Cristiano Ronaldo", "100", "19"
"Cristiano Ronaldo", "Lionel Messi", "19"
"Cristiano Ronaldo", "31", "19"
"Cristiano Ronaldo", "Portuguese", "18"
"Cristiano Ronaldo", "1", "18"
"Cristiano Ronaldo", "10", "18"
"Cristiano Ronaldo", "28 August 2014", "17"
"Cristiano Ronaldo", "6", "17"
"Cristiano Ronaldo", "0", "17"
"Cristiano Ronaldo", "Madeira", "16"
"Cristiano Ronaldo", "16", "16"
"Cristiano Ronaldo", "29", "16"
"Cristiano Ronaldo", "May 2018", "16"
"Cristiano Ronaldo", "26", "16"
"Cristiano Ronaldo", "Barcelona", "16"
"Cristiano Ronaldo", "Marca", "15"
"Cristiano Ronaldo", "23", "15"
"Cristiano Ronaldo", "17", "14"
"Cristiano Ronaldo", "Sporting", "14"
"Cristiano Ronaldo", "30", "14"
"Cristiano Ronaldo", "1–0", "14"
"Cristiano Ronaldo", "Cristiano", "13"
"Cristiano Ronaldo", "CNN", "13"
"Cristiano Ronaldo", "9", "13"
"Cristiano Ronaldo", "five", "13"
"Cristiano Ronaldo", "2013", "13"
"Cristiano Ronaldo", "UEFA Champions League", "13"
"Cristiano Ronaldo", "League", "13"
"Cristiano Ronaldo", "Ballon d'Or", "13"
"Cristiano Ronaldo", "2012", "12"
"Cristiano Ronaldo", "18", "12"
"Cristiano Ronaldo", "29 August 2014", "12"
"Cristiano Ronaldo", "Iran", "12"
"Cristiano Ronaldo", "20", "11"
"Cristiano Ronaldo", "13", "11"
"Cristiano Ronaldo", "England", "11"
"Cristiano Ronaldo", "Sweden", "11"
"Cristiano Ronaldo", "fifth", "11"
"Cristiano Ronaldo", "25", "10"
"Cristiano Ronaldo", "2019", "10"
"Cristiano Ronaldo", "Ballon", "10"
"Cristiano Ronaldo", "15 May 2014", "10"
"Cristiano Ronaldo", "2006", "10"
"Cristiano Ronaldo", "season", "10"
"Cristiano Ronaldo", "Spanish", "10"
"Cristiano Ronaldo", "English", "9"
"Cristiano Ronaldo", "8", "9"
"Cristiano Ronaldo", "Europe", "9"
"Cristiano Ronaldo", "Alex Ferguson", "9"
"Cristiano Ronaldo", "3 September 2014", "9"
"Cristiano Ronaldo", "4–1", "9"
"Cristiano Ronaldo", "April 2018", "9"
"Cristiano Ronaldo", "Raúl", "9"
"Cristiano Ronaldo", "33", "9"
"Cristiano Ronaldo", "15 June 2021", "9"
"Cristiano Ronaldo", "2010", "9"
"Cristiano Ronaldo", "Atlético", "9"
"Cristiano Ronaldo", "8 June 2018", "9"
"Cristiano Ronaldo", "30 September 2014", "9"
"Cristiano Ronaldo", "Russia", "8"
"Cristiano Ronaldo", "August 2017", "8"
"Cristiano Ronaldo", "Eurosport", "8"
"Cristiano Ronaldo", "Manchester United F.C.", "8"
"Cristiano Ronaldo", "21", "8"
"Cristiano Ronaldo", "France", "8"
"Cristiano Ronaldo", "UEFA", "8"
"Cristiano Ronaldo", "Italian", "8"
"Cristiano Ronaldo", "19", "8"
"Cristiano Ronaldo", "Real Madrid's", "8"
"Cristiano Ronaldo", "May 2016", "8"
"Cristiano Ronaldo", "2007–08", "8"
"Cristiano Ronaldo", "40", "8"
"Cristiano Ronaldo", "Football Italia", "8"
"Cristiano Ronaldo", "Netherlands", "8"
"Cristiano Ronaldo", "December 2013", "8"
"Cristiano Ronaldo", "June 2018", "8"
"Cristiano Ronaldo", "15", "7"
"Cristiano Ronaldo", "2003", "7"
"Cristiano Ronaldo", "Germany", "7"
"Cristiano Ronaldo", "2008", "7"
"Cristiano Ronaldo", "August 2018", "7"
"Cristiano Ronaldo", "Taylor  Daniel", "7"
"Cristiano Ronaldo", "Chris", "7"
"Cristiano Ronaldo", "6 October 2014", "7"
"Cristiano Ronaldo", "Brazil", "7"
"Cristiano Ronaldo", "Euro 2016", "7"
"Cristiano Ronaldo", "3 June 2017", "7"
"Cristiano Ronaldo", "quarter", "7"
"Cristiano Ronaldo", "10 July 2018", "7"
"Cristiano Ronaldo", "26 June 2012", "7"
"Cristiano Ronaldo", "14 December 2014", "7"
"Cristiano Ronaldo", "13 December 2018", "7"
