Title, Named Entity, Frequency
"George R. R. Martin", "Martin", "111"
"George R. R. Martin", "George R.R. Martin", "36"
"George R. R. Martin", "first", "24"
"George R. R. Martin", "George R. R. Martin", "22"
"George R. R. Martin", "Thrones", "22"
"George R. R. Martin", "2", "20"
"George R. R. Martin", "July 8, 2014", "18"
"George R. R. Martin", "2014", "14"
"George R. R. Martin", "2012", "14"
"George R. R. Martin", "2011", "13"
"George R. R. Martin", "Tolkien", "12"
"George R. R. Martin", "George RR Martin", "11"
"George R. R. Martin", "Hugo Awards", "11"
"George R. R. Martin", "1980", "11"
"George R. R. Martin", "HBO", "10"
"George R. R. Martin", "Wild Cards", "10"
"George R. R. Martin", "Hugo Award", "10"
"George R. R. Martin", "Fire", "10"
"George R. R. Martin", "American", "9"
"George R. R. Martin", "1987", "9"
"George R. R. Martin", "Game of Thrones'", "9"
"George R. R. Martin", "2017", "8"
"George R. R. Martin", "388", "8"
"George R. R. Martin", "Beauty and Beast", "8"
"George R. R. Martin", "2013", "8"
"George R. R. Martin", "John W. Campbell", "8"
"George R. R. Martin", "Time", "7"
"George R. R. Martin", "two", "7"
"George R. R. Martin", "United States", "7"
"George R. R. Martin", "1977", "7"
"George R. R. Martin", "Santa Fe", "7"
"George R. R. Martin", "Gardner Dozois", "7"
"George R. R. Martin", "3", "7"
"George R. R. Martin", "August 25, 2021", "7"
"George R. R. Martin", "Entertainment Weekly", "6"
"George R. R. Martin", "2016", "6"
"George R. R. Martin", "1975", "6"
"George R. R. Martin", "Dying of Light", "6"
"George R. R. Martin", "1976", "6"
"George R. R. Martin", "1979", "6"
"George R. R. Martin", "New Mexico", "6"
"George R. R. Martin", "Hollywood", "6"
"George R. R. Martin", "2019", "6"
"George R. R. Martin", "Book III", "6"
"George R. R. Martin", "2022", "5"
"George R. R. Martin", "US", "5"
"George R. R. Martin", "390", "5"
"George R. R. Martin", "Guthridge", "5"
"George R. R. Martin", "1998", "5"
"George R. R. Martin", "1997", "5"
"George R. R. Martin", "January", "5"
"George R. R. Martin", "The Hugo Awards", "5"
"George R. R. Martin", "World Science Fiction Convention", "5"
"George R. R. Martin", "2010", "5"
"George R. R. Martin", "Lya", "5"
"George R. R. Martin", "June 30, 2016", "5"
"George R. R. Martin", "1988", "5"
"George R. R. Martin", "Book II", "5"
"George R. R. Martin", "Bayonne", "4"
"George R. R. Martin", "New Jersey", "4"
"George R. R. Martin", "A Song of Ice and Fire", "4"
"George R. R. Martin", "Game of Thrones", "4"
"George R. R. Martin", "Lev Grossman", "4"
"George R. R. Martin", "English", "4"
"George R. R. Martin", "Guardian", "4"
"George R. R. Martin", "The New York Times", "4"
"George R. R. Martin", "R.R. Martin", "4"
"George R. R. Martin", "Hugo", "4"
"George R. R. Martin", "Locus", "4"
"George R. R. Martin", "1984", "4"
"George R. R. Martin", "2001", "4"
"George R. R. Martin", "Fevre Dream", "4"
"George R. R. Martin", "The Armageddon Rag", "4"
"George R. R. Martin", "1983", "4"
"George R. R. Martin", "1985", "4"
"George R. R. Martin", "1989", "4"
"George R. R. Martin", "2009", "4"
"George R. R. Martin", "three", "4"
"George R. R. Martin", "A Clash of Kings", "4"
"George R. R. Martin", "1", "4"
"George R. R. Martin", "Fire series", "4"
"George R. R. Martin", "13", "4"
"George R. R. Martin", "World Science Fiction Society", "4"
"George R. R. Martin", "one", "4"
"George R. R. Martin", "November 28, 2016", "4"
"George R. R. Martin", "British", "4"
"George R. R. Martin", "George R.R. Martin's", "4"
"George R. R. Martin", "2018", "4"
"George R. R. Martin", "2020", "4"
"George R. R. Martin", "2003", "4"
"George R. R. Martin", "Locus Awards Winners By Category", "4"
"George R. R. Martin", "May 7, 2011", "4"
"George R. R. Martin", "Irish", "3"
"George R. R. Martin", "French", "3"
"George R. R. Martin", "12 11", "3"
"George R. R. Martin", "Don", "3"
"George R. R. Martin", "Martin, George", "3"
"George R. R. Martin", "St. James Guide to", "3"
"George R. R. Martin", "Horror", "3"
"George R. R. Martin", "Ghost", "3"
"George R. R. Martin", "Gothic Writers", "3"
"George R. R. Martin", "David Pringle", "3"
"George R. R. Martin", "Vietnam War", "3"
"George R. R. Martin", "Dubuque", "3"
"George R. R. Martin", "Westeros", "3"
"George R. R. Martin", "October 30, 2014", "3"
"George R. R. Martin", "1996", "3"
"George R. R. Martin", "Lisa Tuttle", "3"
"George R. R. Martin", "Nightflyers", "3"
"George R. R. Martin", "livejournal.com", "3"
"George R. R. Martin", "1982", "3"
"George R. R. Martin", "The Twilight Zone", "3"
"George R. R. Martin", "7", "3"
"George R. R. Martin", "1991", "3"
"George R. R. Martin", "January 21, 2012", "3"
"George R. R. Martin", "July 12, 2011", "3"
"George R. R. Martin", "Crows", "3"
"George R. R. Martin", "New York Times", "3"
"George R. R. Martin", "Blackwater (Game of Thrones", "3"
"George R. R. Martin", "December 21, 2016", "3"
"George R. R. Martin", "five", "3"
"George R. R. Martin", "James Hibberd", "3"
"George R. R. Martin", "2021", "3"
"George R. R. Martin", "Worldcon", "3"
"George R. R. Martin", "1986", "3"
"George R. R. Martin", "Democratic", "3"
"George R. R. Martin", "June 21, 2014", "3"
"George R. R. Martin", "2006", "3"
"George R. R. Martin", "Novel", "3"
"George R. R. Martin", "Streets Triad", "3"
"George R. R. Martin", "Notes", "3"
"George R. R. Martin", "Richard", "2"
"George R. R. Martin", "U.S.", "2"
"George R. R. Martin", "Gale Burnick", "2"
"George R. R. Martin", "Parris McBride", "2"
"George R. R. Martin", "February 15, 2011", "2"
"George R. R. Martin", "September 20, 1948", "2"
"George R. R. Martin", "2011–2019", "2"
"George R. R. Martin", "Elden Ring", "2"
"George R. R. Martin", "2005", "2"
"George R. R. Martin", "November 13, 2005", "2"
"George R. R. Martin", "100", "2"
"George R. R. Martin", "TIME", "2"
"George R. R. Martin", "Science Fiction", "2"
"George R. R. Martin", "Marist High School", "2"
"George R. R. Martin", "The Wall Street Journal", "2"
"George R. R. Martin", "July 8, 2011", "2"
"George R. R. Martin", "Stan Lee", "2"
"George R. R. Martin", "Shakespeare", "2"
"George R. R. Martin", "YouTube", "2"
"George R. R. Martin", "New York", "2"
"George R. R. Martin", "14", "2"
"George R. R. Martin", "1970", "2"
"George R. R. Martin", "George Stroumboulopoulos", "2"
"George R. R. Martin", "Tonight", "2"
"George R. R. Martin", "two years", "2"
"George R. R. Martin", "1973", "2"
"George R. R. Martin", "Epoch", "2"
"George R. R. Martin", "Star Wars", "2"
"George R. R. Martin", "RR Martin", "2"
"George R. R. Martin", "Iowa", "2"
"George R. R. Martin", "Clarke", "2"
"George R. R. Martin", "year", "2"
"George R. R. Martin", "Seven", "2"
"George R. R. Martin", "19th century", "2"
"George R. R. Martin", "Mitchell", "2"
"George R. R. Martin", "Tuf Voyaging", "2"
"George R. R. Martin", "June 1, 2012", "2"
"George R. R. Martin", "Max Headroom", "2"
"George R. R. Martin", "Tor Books", "2"
"George R. R. Martin", "Superworld", "2"
"George R. R. Martin", "Albuquerque", "2"
"George R. R. Martin", "August 2016", "2"
"George R. R. Martin", "HighStakes", "2"
"George R. R. Martin", "August 16, 2016", "2"
"George R. R. Martin", "Linda", "2"
"George R. R. Martin", "January 2001", "2"
"George R. R. Martin", "March 20, 2012", "2"
"George R. R. Martin", "seven", "2"
"George R. R. Martin", "fourth", "2"
"George R. R. Martin", "November 27, 2005", "2"
"George R. R. Martin", "fifth", "2"
"George R. R. Martin", "The Winds of Winter", "2"
"George R. R. Martin", "Fire & Blood", "2"
"George R. R. Martin", "House Targaryen", "2"
"George R. R. Martin", "ten", "2"
"George R. R. Martin", "annual", "2"
"George R. R. Martin", "The second season", "2"
"George R. R. Martin", "six", "2"
"George R. R. Martin", "5", "2"
"George R. R. Martin", "6", "2"
"George R. R. Martin", "Lawrence", "2"
"George R. R. Martin", "Variety", "2"
"George R. R. Martin", "July 18, 2016", "2"
"George R. R. Martin", "mid 2017", "2"
"George R. R. Martin", "Jon Snow", "2"
"George R. R. Martin", "January 11, 2022", "2"
"George R. R. Martin", "Telegraph", "2"
"George R. R. Martin", "London", "2"
"George R. R. Martin", "May 24, 2016", "2"
"George R. R. Martin", "season 8", "2"
"George R. R. Martin", "November 2016", "2"
"George R. R. Martin", "Bryan Cogman", "2"
"George R. R. Martin", "September 20, 2017", "2"
"George R. R. Martin", "TMWagner", "2"
"George R. R. Martin", "July 14, 2014", "2"
"George R. R. Martin", "Quote", "2"
"George R. R. Martin", "Rolling Stone", "2"
"George R. R. Martin", "Adam Roberts", "2"
"George R. R. Martin", "Mark Lawrence", "2"
"George R. R. Martin", "Red Wedding", "2"
"George R. R. Martin", "William Faulkner", "2"
"George R. R. Martin", "June 23, 2019", "2"
"George R. R. Martin", "Vince Gerardis", "2"
"George R. R. Martin", "Graham Roland", "2"
"George R. R. Martin", "Robert Redford", "2"
"George R. R. Martin", "Martin George R R", "2"
"George R. R. Martin", "LiveJournal", "2"
"George R. R. Martin", "early 1970s", "2"
"George R. R. Martin", "September 9, 2014", "2"
"George R. R. Martin", "September 22, 2011", "2"
"George R. R. Martin", "May 13, 2010", "2"
"George R. R. Martin", "Gaiman", "2"
"George R. R. Martin", "Wolf Sanctuary", "2"
"George R. R. Martin", "Santa Fe's", "2"
"George R. R. Martin", "Jean Cocteau Cinema", "2"
"George R. R. Martin", "Jean Cocteau", "2"
"George R. R. Martin", "12, 2015", "2"
"George R. R. Martin", "20,000", "2"
"George R. R. Martin", "Santa Fe New Mexican", "2"
"George R. R. Martin", "November 20, 2015", "2"
