Title, Named Entity, Frequency
"Germany", "Germany", "293"
"Germany", "German", "171"
"Germany", "March 2020", "56"
"Germany", "978", "39"
"Germany", "Europe", "38"
"Germany", "Berlin", "26"
"Germany", "European", "17"
"Germany", "2019", "16"
"Germany", "Austria", "16"
"Germany", "Nazi", "15"
"Germany", "CIA", "14"
"Germany", "West Germany", "14"
"Germany", "Deutschland", "12"
"Germany", "first", "12"
"Germany", "2018", "12"
"Germany", "third", "11"
"Germany", "East Germany", "11"
"Germany", "23", "11"
"Germany", "30", "11"
"Germany", "one", "11"
"Germany", "European Union", "10"
"Germany", "April 2020", "10"
"Germany", "second", "10"
"Germany", "Russia", "10"
"Germany", "France", "10"
"Germany", "February 2020", "10"
"Germany", "World War II", "9"
"Germany", "Cambridge University Press", "9"
"Germany", "8", "9"
"Germany", "2017", "9"
"Germany", "2014", "9"
"Germany", "Germans", "8"
"Germany", "Germanic", "8"
"Germany", "fourth", "8"
"Germany", "NATO", "8"
"Germany", "5", "8"
"Germany", "Prussia", "8"
"Germany", "3", "8"
"Germany", "22", "8"
"Germany", "2011", "8"
"Germany", "Federal Republic of Germany", "7"
"Germany", "Soviet", "7"
"Germany", "2015", "7"
"Germany", "11", "7"
"Germany", "4", "7"
"Germany", "27", "7"
"Germany", "2013", "7"
"Germany", "10", "7"
"Germany", "BBC", "7"
"Germany", "2016", "7"
"Germany", "archive date 20 June 2021", "7"
"Germany", "1", "6"
"Germany", "May 2020", "6"
"Germany", "French", "6"
"Germany", "Poland", "6"
"Germany", "Holocaust", "6"
"Germany", "year 1998", "6"
"Germany", "BBC News", "6"
"Germany", "2", "6"
"Germany", "19", "6"
"Germany", "Hitler", "6"
"Germany", "September 2020", "6"
"Germany", "29", "6"
"Germany", "Bevölkerung", "6"
"Germany", "Bundeswehr", "6"
"Germany", "28", "6"
"Germany", "1991", "5"
"Germany", "Olaf Scholz", "5"
"Germany", "2021", "5"
"Germany", "year 2005", "5"
"Germany", "North Sea", "5"
"Germany", "East German", "5"
"Germany", "PPP", "5"
"Germany", "2009", "5"
"Germany", "Fulbrook  1991", "5"
"Germany", "Hungary", "5"
"Germany", "Russian", "5"
"Germany", "1 January 2015", "5"
"Germany", "Deutsche Welle", "5"
"Germany", "United States", "5"
"Germany", "The New York Times", "5"
"Germany", "29 March 2020", "5"
"Germany", "Hamburg", "5"
"Germany", "monthly", "5"
"Germany", "One", "5"
"Germany", "July 2020", "5"
"Germany", "Danish", "4"
"Germany", "26", "4"
"Germany", "German Democratic Republic", "4"
"Germany", "October 2020", "4"
"Germany", "April 2021", "4"
"Germany", "Denmark", "4"
"Germany", "Switzerland", "4"
"Germany", "Belgium", "4"
"Germany", "Frankfurt", "4"
"Germany", "German Confederation", "4"
"Germany", "Weimar Republic", "4"
"Germany", "0", "4"
"Germany", "12", "4"
"Germany", "Bavaria", "4"
"Germany", "15 March 2020", "4"
"Germany", "Eastern Europe", "4"
"Germany", "November 2019", "4"
"Germany", "Britain", "4"
"Germany", "28 September 2014", "4"
"Germany", "Reichstag", "4"
"Germany", "30 April 2011", "4"
"Germany", "Potsdam", "4"
"Germany", "West German", "4"
"Germany", "1989", "4"
"Germany", "1990", "4"
"Germany", "Bundesrepublik Deutschland", "4"
"Germany", "Einheit Deutschlands", "4"
"Germany", "Bundesministerium", "4"
"Germany", "Justiz", "4"
"Germany", "Afghanistan", "4"
"Germany", "lang de Bundestag", "4"
"Germany", "10 October 2017", "4"
"Germany", "August 2019", "4"
"Germany", "Guardian", "4"
"Germany", "European Commission", "4"
"Germany", "Federal Statistical Office", "4"
"Germany", "Islam", "4"
"Germany", "5 July 2020", "4"
"Germany", "Christmas", "4"
"Germany", "Baroque", "4"
"Germany", "Central Europe", "3"
"Germany", "December 2020", "3"
"Germany", "Bonn", "3"
"Germany", "52", "3"
"Germany", "31", "3"
"Germany", "Sorbian", "3"
"Germany", "Allied", "3"
"Germany", "British", "3"
"Germany", "Organisation for Economic Co", "3"
