Title, Named Entity, Frequency
"India", "India", "633"
"India", "Indian", "190"
"India", "978", "133"
"India", "1", "50"
"India", "2011", "41"
"India", "July 2011", "36"
"India", "2006", "34"
"India", "Hindu", "30"
"India", "1998", "28"
"India", "4", "27"
"India", "first", "27"
"India", "Metcalf Metcalf", "27"
"India", "two", "23"
"India", "Pakistan", "22"
"India", "2009", "21"
"India", "British", "20"
"India", "Manipuri", "19"
"India", "second", "19"
"India", "Kashmir", "19"
"India", "2007", "19"
"India", "one", "18"
"India", "China", "17"
"India", "2", "17"
"India", "South Asia", "16"
"India", "Oxford University Press", "16"
"India", "2003", "15"
"India", "8", "15"
"India", "6", "15"
"India", "2010", "15"
"India", "17", "14"
"India", "3", "14"
"India", "19", "14"
"India", "Muslim", "14"
"India", "Congress", "14"
"India", "220", "14"
"India", "978 81", "14"
"India", "5", "13"
"India", "The Times of India", "12"
"India", "18 October 2021", "12"
"India", "Delhi", "11"
"India", "2014", "11"
"India", "One", "11"
"India", "Vedic", "11"
"India", "Jammu", "11"
"India", "33em", "11"
"India", "New Delhi", "10"
"India", "28", "10"
"India", "Tamil", "10"
"India", "26", "10"
"India", "University Press", "10"
"India", "four", "10"
"India", "Cambridge University Press", "10"
"India", "Buddhist", "10"
"India", "Tamil Nadu", "10"
"India", "1962", "10"
"India", "Sharma", "10"
"India", "1970", "10"
"India", "1997", "10"
"India", "1994", "10"
"India", "eight", "10"
"India", "April 2022", "9"
"India", "International Monetary Fund", "9"
"India", "World Bank", "9"
"India", "Talbot", "9"
"India", "2017", "9"
"India", "IUCN", "9"
"India", "2005", "9"
"India", "Gujarat", "9"
"India", "Schwartzberg", "9"
"India", "October 2021", "9"
"India", "Kuchipudi", "9"
"India", "Kathakali", "9"
"India", "1950", "8"
"India", "Hindi", "8"
"India", "South Asian", "8"
"India", "Africa", "8"
"India", "10", "8"
"India", "Asia", "8"
"India", "Chinese", "8"
"India", "Kulke Rothermund 2004", "8"
"India", "South India", "8"
"India", "12", "8"
"India", "2001", "8"
"India", "#", "8"
"India", "CURRENTDAYOFYEAR", "8"
"India", "Western Ghats", "8"
"India", "2004", "8"
"India", "Bharatanatyam", "8"
"India", "Kathak", "8"
"India", "Odissi", "8"
"India", "English", "7"
"India", "16", "7"
"India", "2018", "7"
"India", "Indians", "7"
"India", "third", "7"
"India", "Routledge", "7"
"India", "August 2019", "7"
"India", "2021", "7"
"India", "BJP", "7"
"India", "BBC News", "7"
"India", "October 2017", "7"
"India", "Russia", "7"
"India", "May 2017", "7"
"India", "Rowland", "7"
"India", "national academy of performance", "7"
"India", "1st", "7"
"India", "14", "6"
"India", "Census", "6"
"India", "2019", "6"
"India", "Islam", "6"
"India", "Christianity", "6"
"India", "five", "6"
"India", "Himalayas", "6"
"India", "521", "6"
"India", "0", "6"
"India", "25", "6"
"India", "7", "6"
"India", "1947", "6"
"India", "Asian", "6"
"India", "1993", "6"
"India", "1996", "6"
"India", "1988", "6"
"India", "1991", "6"
"India", "Parliament", "6"
"India", "US", "6"
"India", "Uttar Pradesh", "6"
"India", "France", "6"
"India", "World Trade Organization", "6"
"India", "180", "6"
"India", "24", "5"
"India", "Mumbai", "5"
"India", "Ministry of Home Affairs", "5"
"India", "30", "5"
"India", "Constitution", "5"
"India", "Central Intelligence Agency", "5"
"India", "United States", "5"
"India", "today", "5"
"India", "Indian Ocean", "5"
"India", "Nepal", "5"
"India", "Sri Lanka", "5"
"India", "European", "5"
"India", "Dyson 2018", "5"
"India", "Fisher 2018", "5"
"India", "Indo Aryan", "5"
"India", "Bihar", "5"
"India", "Ramayana", "5"
"India", "35", "5"
"India", "Dravidian", "5"
"India", "400", "5"
"India", "1951", "5"
"India", "11", "5"
"India", "Mughal Empire", "5"
"India", "Chola", "5"
"India", "4th", "5"
"India", "5th", "5"
"India", "South Indian", "5"
"India", "Modern India", "5"
"India", "Punjab", "5"
"India", "97", "5"
"India", "160", "5"
"India", "Jharkhand", "5"
"India", "Rajasthan", "5"
"India", "Tritsch", "5"
"India", "1983", "5"
"India", "three", "5"
"India", "Ministry of Environment and Forests", "5"
"India", "Nehru", "5"
"India", "West Bengal", "5"
"India", "October 2011", "5"
"India", "22", "5"
"India", "September 2021", "5"
"India", "May 2012", "5"
"India", "21", "5"
"India", "Muslims", "5"
"India", "Persian", "5"
"India", "September 2011", "5"
"India", "October 2010", "5"
"India", "National Informatics Centre 2005", "4"
"India", "124", "4"
"India", "Bengali", "4"
"India", "Press Trust of India", "4"
"India", "Gujarati", "4"
"India", "Rajya Sabha", "4"
"India", "13", "4"
"India", "London", "4"
"India", "Bharat", "4"
"India", "2013", "4"
"India", "Afghanistan", "4"
"India", "Bangladesh", "4"
"India", "Maldives", "4"
"India", "Thailand", "4"
"India", "Aryan", "4"
"India", "Indus", "4"
"India", "Islamic", "4"
"India", "Central Asia", "4"
"India", "152", "4"
"India", "Taj Mahal", "4"
"India", "9", "4"
"India", "265–266", "4"
"India", "2012", "4"
"India", "North India", "4"
"India", "Encyclopædia Britannica", "4"
"India", "300", "4"
"India", "255", "4"
"India", "Singh", "4"
"India", "Maharashtra", "4"
"India", "520", "4"
"India", "Kerala", "4"
"India", "1967", "4"
"India", "June 2007", "4"
"India", "National Informatics Centre", "4"
"India", "10.2305", "4"
"India", "Madhya Pradesh", "4"
"India", "2008", "4"
"India", "May 2014", "4"
"India", "Today", "4"
"India", "1972", "4"
"India", "1980", "4"
"India", "1992", "4"
"India", "Telangana", "4"
"India", "1999", "4"
"India", "October 2018", "4"
"India", "GB", "4"
"India", "Kumar", "4"
"India", "British Broadcasting Corporation", "4"
"India", "Reuters", "4"
"India", "2016", "4"
"India", "Organisation for Economic Co", "4"
"India", "February 2022", "4"
"India", "29", "4"
"India", "November 2017", "4"
"India", "Harle", "4"
"India", "CE", "4"
"India", "Blurton", "4"
"India", "Sattriya", "4"
"India", "Dwyer2014", "4"
"India", "317", "4"
"India", "Saina Nehwal", "4"
"India", "Metcalf", "4"
"India", "Stockholm International Peace Research Institute", "4"
"India", "The Wall Street Journal", "4"
"India", "May 2020", "3"
"India", "Three", "3"
"India", "Vande Mataram", "3"
"India", "Jana Gana Mana", "3"
"India", "February 2017", "3"
"India", "50", "3"
