Title, Named Entity, Frequency
"Microsoft", "Microsoft", "368"
"Microsoft", "U.S.", "24"
"Microsoft", "US", "18"
"Microsoft", "IBM", "16"
"Microsoft", "first", "16"
"Microsoft", "Bill Gates", "15"
"Microsoft", "Reuters", "12"
"Microsoft", "American", "11"
"Microsoft", "Xbox", "11"
"Microsoft", "August 18, 2008", "11"
"Microsoft", "2021", "10"
"Microsoft", "United States", "10"
"Microsoft", "Steve Ballmer", "10"
"Microsoft", "Nokia", "9"
"Microsoft", "Allan 2001", "9"
"Microsoft", "July 17, 2010", "9"
"Microsoft", "One", "8"
"Microsoft", "Windows Phone", "8"
"Microsoft", "Guardian", "8"
"Microsoft", "June 6, 2013", "8"
"Microsoft", "August 23, 2012", "8"
"Microsoft", "2012", "7"
"Microsoft", "Allen", "7"
"Microsoft", "Gates", "7"
"Microsoft", "Wall Street Journal", "7"
"Microsoft", "CBS Interactive", "7"
"Microsoft", "May 25, 2016", "7"
"Microsoft", "Satya Nadella", "6"
"Microsoft", "Google", "6"
"Microsoft", "Amazon", "6"
"Microsoft", "Paul Allen", "6"
"Microsoft", "May 10, 2011", "6"
"Microsoft", "978", "6"
"Microsoft", "May 11, 2011", "6"
"Microsoft", "The New York Times", "6"
"Microsoft", "2007", "6"
"Microsoft", "October 26, 2015", "6"
"Microsoft", "four", "5"
"Microsoft", "FY20 Q4", "5"
"Microsoft", "MS DOS", "5"
"Microsoft", "2015", "5"
"Microsoft", "Android", "5"
"Microsoft", "MSN", "5"
"Microsoft", "Apple", "5"
"Microsoft", "November 2012", "5"
"Microsoft", "March 23, 2019", "5"
"Microsoft", "3", "5"
"Microsoft", "July 3, 2010", "5"
"Microsoft", "CNET", "5"
"Microsoft", "second", "5"
"Microsoft", "Surface", "5"
"Microsoft", "2011", "5"
"Microsoft", "Xbox One", "5"
"Microsoft", "HoloLens", "5"
"Microsoft", "Intune for Education", "5"
"Microsoft", "Microsoft Blog", "5"
"Microsoft", "January 25, 2017", "5"
"Microsoft", "TechCrunch", "5"
"Microsoft", "Register", "5"
"Microsoft", "2", "5"
"Microsoft", "one", "5"
"Microsoft", "Microsoft Redmond", "4"
"Microsoft", "Brad Smith", "4"
"Microsoft", "Microsoft Store", "4"
"Microsoft", "Explorer", "4"
"Microsoft", "Microsoft Surface", "4"
"Microsoft", "2020", "4"
"Microsoft", "2016", "4"
"Microsoft", "Apple Inc. Apple", "4"
"Microsoft", "BBC", "4"
"Microsoft", "International Data Group", "4"
"Microsoft", "2008", "4"
"Microsoft", "2010", "4"
"Microsoft", "Washington", "4"
"Microsoft", "1", "4"
"Microsoft", "Redmond", "4"
"Microsoft", "July 3, 2006", "4"
"Microsoft", "Condé Nast", "4"
"Microsoft", "2003", "4"
"Microsoft", "Penton Media", "4"
"Microsoft", "Intel", "4"
"Microsoft", "April 4, 2012", "4"
"Microsoft", "Windows 95", "4"
"Microsoft", "Chris", "4"
"Microsoft", "Microsoft Azure", "4"
"Microsoft", "Windows 8", "4"
"Microsoft", "2013", "4"
"Microsoft", "Kinect", "4"
"Microsoft", "June 8, 2017", "4"
"Microsoft", "The Wall Street Journal", "4"
"Microsoft", "January 24, 2017", "4"
"Microsoft", "London", "4"
"Microsoft", "Toyota", "4"
"Microsoft", "Windows 11", "4"
"Microsoft", "GPT 3", "4"
"Microsoft", "quarterly", "4"
"Microsoft", "29", "4"
"Microsoft", "Apple Inc.", "4"
"Microsoft", "2009", "4"
"Microsoft", "Seattle", "4"
"Microsoft", "NSA", "4"
"Microsoft", "September 1, 2018", "4"
"Microsoft", "October 27, 2015", "4"
"Microsoft", "Microsoft Corporation", "3"
"Microsoft", "Fortune", "3"
"Microsoft", "Microsoft Windows", "3"
"Microsoft", "Computerworld", "3"
"Microsoft", "Gartner", "3"
"Microsoft", "Windows", "3"
"Microsoft", "2014", "3"
"Microsoft", "August 2, 2017", "3"
"Microsoft", "2018", "3"
"Microsoft", "November 29, 2018", "3"
"Microsoft", "third", "3"
"Microsoft", "April 24, 2019", "3"
"Microsoft", "MITS", "3"
"Microsoft", "10", "3"
"Microsoft", "Bellevue", "3"
"Microsoft", "1980", "3"
"Microsoft", "1983", "3"
"Microsoft", "Hodgkin", "3"
"Microsoft", "The Seattle Times", "3"
"Microsoft", "32", "3"
"Microsoft", "1996", "3"
"Microsoft", "July 16, 2010", "3"
"Microsoft", "November 29, 2020", "3"
"Microsoft", "July 6, 2010", "3"
"Microsoft", "U.S. Department of Justice", "3"
"Microsoft", "2004", "3"
"Microsoft", "New York", "3"
"Microsoft", "two", "3"
"Microsoft", "2005", "3"
"Microsoft", "Vista", "3"
"Microsoft", "October 22, 2009", "3"
"Microsoft", "Metro", "3"
"Microsoft", "Windows Phone 8", "3"
"Microsoft", "March 23, 2011", "3"
"Microsoft", "August 2012", "3"
"Microsoft", "ZDNet", "3"
"Microsoft", "New York City", "3"
"Microsoft", "June 7, 2013", "3"
"Microsoft", "September 5, 2017", "3"
"Microsoft", "John W. Thompson", "3"
"Microsoft", "June 9, 2017", "3"
"Microsoft", "September 27, 2015", "3"
"Microsoft", "7,800", "3"
"Microsoft", "Linux Foundation", "3"
"Microsoft", "January 3, 2019", "3"
"Microsoft", "Windows 10", "3"
"Microsoft", "June 4, 2018", "3"
"Microsoft", "GitHub", "3"
"Microsoft", "August 2018", "3"
"Microsoft", "November 2018", "3"
"Microsoft", "February 20, 2019", "3"
"Microsoft", "Business Daily", "3"
"Microsoft", "19", "3"
"Microsoft", "July 31, 2020", "3"
"Microsoft", "OpenAI", "3"
"Microsoft", "2022", "3"
"Microsoft", "Ally.io", "3"
"Microsoft", "January 18, 2022", "3"
"Microsoft", "20, 2022", "3"
"Microsoft", "today", "3"
"Microsoft", "July 20, 2012", "3"
"Microsoft", "February 2, 2014", "3"
"Microsoft", "London Stock Exchange", "3"
"Microsoft", "September 30, 2010", "3"
"Microsoft", "18,000", "3"
"Microsoft", "Wired (", "3"
"Microsoft", "Greenpeace International", "3"
"Microsoft", "520", "3"
"Microsoft", "August 25, 2012", "3"
"Microsoft", "Finland", "3"
"Microsoft", "Irish", "3"
"Microsoft", "Neate", "3"
"Microsoft", "ProPublica", "3"
"Microsoft", "May 2019", "2"
"Microsoft", "Microsoft logo", "2"
"Microsoft", "100", "2"
"Microsoft", "500", "2"
"Microsoft", "Traf O Data", "2"
"Microsoft", "New Mexico", "2"
"Microsoft", "Skype", "2"
"Microsoft", "Microsoft Visual Studio Visual Studio", "2"
"Microsoft", "Microsoft Surface Surface", "2"
"Microsoft", "Microsoft Bing Bing", "2"
"Microsoft", "Outlook.com", "2"
"Microsoft", "Skype Technologies", "2"
"Microsoft", "21", "2"
"Microsoft", "June 18, 2015", "2"
"Microsoft", "April 4, 1975", "2"
"Microsoft", "1986", "2"
"Microsoft", "three", "2"
"Microsoft", "April 29, 2018", "2"
"Microsoft", "14%", "2"
"Microsoft", "InformationWeek", "2"
"Microsoft", "April 24, 2014", "2"
"Microsoft", "Microsoft Mobile", "2"
"Microsoft", "October 7, 2017", "2"
"Microsoft", "Global Top 100", "2"
"Microsoft", "8800", "2"
"Microsoft", "228", "2"
"Microsoft", "November 8, 2016", "2"
"Microsoft", "BBC News Online", "2"
"Microsoft", "Japan", "2"
"Microsoft", "8", "2"
"Microsoft", "July 15, 2010", "2"
"Microsoft", "November 4, 2002", "2"
"Microsoft", "July 14, 2010", "2"
"Microsoft", "February 8, 2018", "2"
"Microsoft", "Smart Computing", "2"
"Microsoft", "Sandhills Publishing Company", "2"
"Microsoft", "210", "2"
