Title, Named Entity, Frequency
"United States of America", "United States", "393"
"United States of America", "978", "176"
"United States of America", "U.S.", "158"
"United States of America", "American", "111"
"United States of America", "The United States", "47"
"United States of America", "Americans", "46"
"United States of America", "first", "42"
"United States of America", "America", "36"
"United States of America", "New York", "31"
"United States of America", "US", "28"
"United States of America", "English", "25"
"United States of America", "European", "24"
"United States of America", "North America", "21"
"United States of America", "2019", "20"
"United States of America", "5", "20"
"United States of America", "6", "20"
"United States of America", "Spanish", "19"
"United States of America", "2", "19"
"United States of America", "one", "18"
"United States of America", "Native Americans", "18"
"United States of America", "October 25, 2015", "18"
"United States of America", "Alaska", "17"
"United States of America", "2020", "17"
"United States of America", "Canada", "17"
"United States of America", "United States of America", "15"
"United States of America", "Washington", "15"
"United States of America", "Puerto Rico", "15"
"United States of America", "California", "15"
"United States of America", "The New York Times", "15"
"United States of America", "1", "14"
"United States of America", "New York City", "14"
"United States of America", "World War II", "14"
"United States of America", "China", "14"
"United States of America", "five", "13"
"United States of America", "2021", "13"
"United States of America", "Cold War", "13"
"United States of America", "second", "13"
"United States of America", "2009", "13"
"United States of America", "year 2005", "13"
"United States of America", "French", "12"
"United States of America", "third", "12"
"United States of America", "2016", "12"
"United States of America", "South", "12"
"United States of America", "Oxford University Press", "12"
"United States of America", "U.S. Census Bureau", "11"
"United States of America", "Christian", "11"
"United States of America", "two", "11"
"United States of America", "year 2011", "11"
"United States of America", "2011", "10"
"United States of America", "NPR", "10"
"United States of America", "Britain", "10"
"United States of America", "OECD", "10"
"United States of America", "Indian", "10"
"United States of America", "2003", "10"
"United States of America", "three", "10"
"United States of America", "4", "10"
"United States of America", "ABC CLIO", "10"
"United States of America", "Japan", "10"
"United States of America", "Europe", "10"
"United States of America", "Congressional Research Service", "10"
"United States of America", "2010", "10"
"United States of America", "3", "10"
"United States of America", "Hawaii", "9"
"United States of America", "American Samoa", "9"
"United States of America", "1998", "9"
"United States of America", "2017", "9"
"United States of America", "year 2004", "9"
"United States of America", "December 24, 2014", "9"
"United States of America", "Senate", "9"
"United States of America", "Associated Press", "9"
"United States of America", "2007", "8"
"United States of America", "D.C.", "8"
"United States of America", "Democratic Party", "8"
"United States of America", "50", "8"
"United States of America", "The Washington Post", "8"
"United States of America", "Soviet Union", "8"
"United States of America", "Italian", "8"
"United States of America", "7", "8"
"United States of America", "year 2010", "8"
"United States of America", "Congress", "8"
"United States of America", "2018", "8"
"United States of America", "Guardian", "8"
"United States of America", "2014", "8"
"United States of America", "Guam", "7"
"United States of America", "Native American", "7"
"United States of America", "2004", "7"
"United States of America", "Mexico", "7"
"United States of America", "Russia", "7"
"United States of America", "2005", "7"
"United States of America", "Indians", "7"
"United States of America", "Rowman & Littlefield", "7"
"United States of America", "Florida", "7"
"United States of America", "British", "7"
"United States of America", "Democrats", "7"
"United States of America", "9", "7"
"United States of America", "September 11", "7"
