Title, Named Entity, Sentence
Brad Pitt, Brad Pitt, Brad Pitt
Short description American actor and film producer
Other uses
pp semi blp small
Brad Pitt, American, Brad Pitt
Short description American actor and film producer
Other uses
pp semi blp small
Brad Pitt, American, yes
Use American English date September 2019
Use mdy dates date July 2020
Infobox person
  name                 Brad Pitt
  image
Brad Pitt, English, yes
Use American English date September 2019
Use mdy dates date July 2020
Infobox person
  name                 Brad Pitt
  image
Brad Pitt, September 2019, yes
Use American English date September 2019
Use mdy dates date July 2020
Infobox person
  name                 Brad Pitt
  image
Brad Pitt, mdy, yes
Use American English date September 2019
Use mdy dates date July 2020
Infobox person
  name                 Brad Pitt
  image
Brad Pitt, July 2020, yes
Use American English date September 2019
Use mdy dates date July 2020
Infobox person
  name                 Brad Pitt
  image
Brad Pitt, Brad Pitt
  , yes
Use American English date September 2019
Use mdy dates date July 2020
Infobox person
  name                 Brad Pitt
  image
Brad Pitt, Brad Pitt, Brad Pitt 2019 by Glenn Francis.jpg
  alt                  Brad Pitt at premiere of 'Once Upon a Time in Hollywood' in 2019.
Brad Pitt, 2019, Brad Pitt 2019 by Glenn Francis.jpg
  alt                  Brad Pitt at premiere of 'Once Upon a Time in Hollywood' in 2019.
Brad Pitt, Glenn Francis.jpg
  , Brad Pitt 2019 by Glenn Francis.jpg
  alt                  Brad Pitt at premiere of 'Once Upon a Time in Hollywood' in 2019.
Brad Pitt, Brad Pitt, Brad Pitt 2019 by Glenn Francis.jpg
  alt                  Brad Pitt at premiere of 'Once Upon a Time in Hollywood' in 2019.
Brad Pitt, Once Upon a Time, Brad Pitt 2019 by Glenn Francis.jpg
  alt                  Brad Pitt at premiere of 'Once Upon a Time in Hollywood' in 2019.
Brad Pitt, Hollywood, Brad Pitt 2019 by Glenn Francis.jpg
  alt                  Brad Pitt at premiere of 'Once Upon a Time in Hollywood' in 2019.
Brad Pitt, 2019, Brad Pitt 2019 by Glenn Francis.jpg
  alt                  Brad Pitt at premiere of 'Once Upon a Time in Hollywood' in 2019.
Brad Pitt, 2019, caption              Pitt in 2019
  birth_name           William Bradley
Brad Pitt, William Bradley, caption              Pitt in 2019
  birth_name           William Bradley
Brad Pitt, age 1963 12, Pitt
  birth_date           Birth date and age 1963 12 18
