Name of Course,Type of Course,Long text,Number,Short text,Term,Hours per week in term,Expected no. of participants,Max. participants,Turnus,Additional Links,Language,Assignment,Credits,Responsible Instructors,application period
Einführungsveranstaltung Informatik (nicht für Studienanfänger Bachelor),Introductory course,,136367,,SoSe 2022,,,,very semester,"[""https://cs-uni-saarland-de.zoom.us/j/89570900194?pwd=a0hhdzdRVTNJTHcrOXFtb2tZd2h6Zz09""]",english,no enrollment,,"[""Dozent*innen/Informatik,""]",
Welcome Meeting for new Master Students Media Informatics,Introductory course,,137237,,SoSe 2022,,,,very semester,,english,no enrollment,,"[""Kr\u00fcger,\u00a0Antonio ,\u00a0Univ.-Prof. Dr.""]",
Welcome Meeting for new Master Students Computer Science,Introductory course,,137323,,SoSe 2022,,,,very semester,,english,no enrollment,,"[""Demberg,\u00a0Vera ,\u00a0Univ.-Professor Dr.""]",
StEP - Introductory event for new students in the computer science department organized by the students council (Master),Introductory course,,137364,,SoSe 2022,,,,very semester,"[""https://cs.fs.uni-saarland.de/step_en/""]",english,no enrollment,,"[""Fachschaft Informatikstudieng\u00e4nge,""]",
Welcome Week,Introductory course,,137372,,SoSe 2022,,,,very semester,"[""https://www.uni-saarland.de/en/global/welcome-center/welcome-week.html""]",english,no enrollment,,[],
Artificial Intelligence,Lecture / Exercise/problem-solving class,,136388,,SoSe 2022,,,,,"[""https://cms.sic.saarland/ai_22/""]",english,no enrollment,,"[""Hoffmann,\u00a0J\u00f6rg,\u00a0Univ.-Professor,\u00a0Prof. Dr.""]",
Cryptography,Lecture / Exercise/problem-solving class,,136473,,SoSe 2022,,,,,"[""https://cms.cispa.saarland/crypto22""]",english,no enrollment,,"[""D\u00f6ttling,\u00a0Nico ,\u00a0Dr."", ""Loss,\u00a0Julian ,\u00a0Dr.""]",
Introduction to Computational Logic,Lecture / Exercise/problem-solving class,,136477,,SoSe 2022,,,,,"[""https://cms.sic.saarland/icl_22/""]",english,no enrollment,,"[""Smolka,\u00a0Gert ,\u00a0Univ.-Prof. Dr. rer. nat.""]",
Optimization,Lecture / Exercise/problem-solving class,,136508,,SoSe 2022,,,,,"[""https://www.mpi-inf.mpg.de/departments/algorithms-complexity/teaching/summer22/optimization""]",english,no enrollment,,"[""Karrenbauer,\u00a0Andreas ,\u00a0Dr.""]",
Embedded Systems,Lecture / Exercise/problem-solving class,,136509,,SoSe 2022,,,,,"[""https://cms.sic.saarland/es22/""]",english,no enrollment,,"[""Maggio,\u00a0Martina,\u00a0Univ.-Professorin,\u00a0Dr.-Ing.""]",
Data Networks,Lecture / Exercise/problem-solving class,,136511,,SoSe 2022,,,,,"[""https://inet-teaching.mpi-inf.mpg.de/dn_22/""]",english,no enrollment,,"[""Feldmann,\u00a0Anja ,\u00a0Prof. Ph.D.""]",
Machine Learning,Lecture / Exercise/problem-solving class,,136516,,SoSe 2022,,,,,"[""https://cms.cispa.saarland/ml22/""]",english,no enrollment,,"[""Fritz,\u00a0Mario ,\u00a0Prof. Dr.""]",
Image Processing and Computer Vision,Lecture / Exercise/problem-solving class,,137554,,SoSe 2022,4,,,Every other semester,"[""https://www.mia.uni-saarland.de/weickert/index.shtml""]",english,no enrollment,9,"[""Weickert,\u00a0Joachim,\u00a0Univ.-Professor,\u00a0Prof. Dr. rer. nat."", ""Mitarbeiter des Lehrstuhls,""]",
Text-to-Speech Synthesis,Lecture,,134460,,SoSe 2022,2,,,Every other semester,"[""https://www.coli.uni-saarland.de/courses/sprachsynthese/2022_SS/tts.html""]",english,no enrollment,3,"[""M\u00f6bius,\u00a0Bernd ,\u00a0Univ.-Prof. Dr.""]",
Quantitative Model Checking,Advanced lecture,,136332,,SoSe 2022,,,,,"[""https://dcms.cs.uni-saarland.de/qmc22/""]",english,no enrollment,,"[""Hermanns,\u00a0Holger ,\u00a0Univ.-Prof. Dr.-Ing."", ""Maggio,\u00a0Martina,\u00a0Univ.-Professorin,\u00a0Dr.-Ing.""]",
