Name of Course,Type of Course,Long text,Number,Short text,Term,Hours per week in term,Expected no. of participants,Max. participants,Turnus,Additional Links,Language,Assignment,Credits,Responsible Instructors,application period
Einführungsveranstaltung Informatik (nicht für Studienanfänger Bachelor),Introductory course,,136367,,SoSe 2022,,,,very semester,"[""https://cs-uni-saarland-de.zoom.us/j/89570900194?pwd=a0hhdzdRVTNJTHcrOXFtb2tZd2h6Zz09""]",english,no enrollment,,"[""Dozent*innen/Informatik,""]",
Welcome Meeting for new Master Students Media Informatics,Introductory course,,137237,,SoSe 2022,,,,very semester,,english,no enrollment,,"[""Kr\u00fcger, Antonio , Univ.-Prof. Dr.""]",
Welcome Meeting for new Master Students Computer Science,Introductory course,,137323,,SoSe 2022,,,,very semester,,english,no enrollment,,"[""Demberg, Vera , Univ.-Professor Dr.""]",
StEP - Introductory event for new students in the computer science department organized by the students council (Master),Introductory course,,137364,,SoSe 2022,,,,very semester,"[""https://cs.fs.uni-saarland.de/step_en/""]",english,no enrollment,,"[""Fachschaft Informatikstudieng\u00e4nge,""]",
Welcome Week,Introductory course,,137372,,SoSe 2022,,,,very semester,"[""https://www.uni-saarland.de/en/global/welcome-center/welcome-week.html""]",english,no enrollment,,[],
Artificial Intelligence,Lecture / Exercise/problem-solving class,,136388,,SoSe 2022,,,,,"[""https://cms.sic.saarland/ai_22/""]",english,no enrollment,,"[""Hoffmann, J\u00f6rg, Univ.-Professor, Prof. Dr.""]",
Cryptography,Lecture / Exercise/problem-solving class,,136473,,SoSe 2022,,,,,"[""https://cms.cispa.saarland/crypto22""]",english,no enrollment,,"[""D\u00f6ttling, Nico , Dr."", ""Loss, Julian , Dr.""]",
Introduction to Computational Logic,Lecture / Exercise/problem-solving class,,136477,,SoSe 2022,,,,,"[""https://cms.sic.saarland/icl_22/""]",english,no enrollment,,"[""Smolka, Gert , Univ.-Prof. Dr. rer. nat.""]",
Optimization,Lecture / Exercise/problem-solving class,,136508,,SoSe 2022,,,,,"[""https://www.mpi-inf.mpg.de/departments/algorithms-complexity/teaching/summer22/optimization""]",english,no enrollment,,"[""Karrenbauer, Andreas , Dr.""]",
Embedded Systems,Lecture / Exercise/problem-solving class,,136509,,SoSe 2022,,,,,"[""https://cms.sic.saarland/es22/""]",english,no enrollment,,"[""Maggio, Martina, Univ.-Professorin, Dr.-Ing.""]",
Data Networks,Lecture / Exercise/problem-solving class,,136511,,SoSe 2022,,,,,"[""https://inet-teaching.mpi-inf.mpg.de/dn_22/""]",english,no enrollment,,"[""Feldmann, Anja , Prof. Ph.D.""]",
Machine Learning,Lecture / Exercise/problem-solving class,,136516,,SoSe 2022,,,,,"[""https://cms.cispa.saarland/ml22/""]",english,no enrollment,,"[""Fritz, Mario , Prof. Dr.""]",
Image Processing and Computer Vision,Lecture / Exercise/problem-solving class,,137554,,SoSe 2022,4,,,Every other semester,"[""https://www.mia.uni-saarland.de/weickert/index.shtml""]",english,no enrollment,9,"[""Weickert, Joachim, Univ.-Professor, Prof. Dr. rer. nat."", ""Mitarbeiter des Lehrstuhls,""]",
