"entity","dateOfBirth","nationality","almaMater","awards","workPlaces"
"Harold Marshall (acoustician)","['1931-09-15']","['Auckland']","['University of Auckland', 'University of Southampton']","['Rayleigh Medal', 'Wallace Clement Sabine Medal']","['University of Auckland']"
"Ziauddin Ahmad","['1878-02-13']","['Aligarh']","['Al-Azhar University', 'Allahabad University', 'Calcutta University', 'Cambridge University', 'Muhammadan Anglo-Oriental College', 'Patna University', 'Royal Astronomical Society', 'University of Bologna', 'University of Göttingen']","['Companion of the Order of the Indian Empire', 'Gold Medal']","['Aligarh Muslim University', 'London Mathematical Society', 'Muhammadan Anglo-Oriental College', 'Royal Astronomical Society', 'Trinity College, Cambridge', 'University of Bologna', 'University of Paris']"
"Heinz König","['1927-12-25']","['Baden-Württemberg']","['University of Mainz', 'University of Münster']","['Econometric Society', 'Honorary doctorate', 'Order of Merit of the Federal Republic of Germany', 'University of Mannheim']","['Harvard University', 'Stanford University', 'University of Mannheim']"
"Izaak Kolthoff","['1894-02-11']","['Minnesota']","['University of Utrecht']","['National Academy of Sciences', 'Order of Orange-Nassau', 'Willard Gibbs Award']","['University of Minnesota', 'University of Utrecht']"
"Murray Batchelor","['1961-8-27']","['Australia']","['Australian National University', 'University of New South Wales']","['Australian Mathematical Society Medal', 'Pawsey Medal']","['Australian National University', 'Chongqing University']"
"Leon M. Lederman","['1922-07-15']","['United States']","['City College of New York', 'Columbia University']","['National Medal of Science', 'Nobel Prize in Physics', 'Vannevar Bush Award', 'William Procter Prize for Scientific Achievement', 'Wolf Prize in Physics']","['Columbia University', 'Fermi National Accelerator Laboratory', 'Illinois Institute of Technology']"
"Peter Balazs (mathematician)","['1970-12-11']","['Austria']","['Universität Wien']","['Start-Preis']","['Acoustics Research Institute', 'CNRS', 'Université catholique de Louvain']"
"Lorenz Studer","['1966-03-05']","['United States']","['University of Bern', 'University of Fribourg']","['MSKCC', 'MacArthur Fellowship']","['Memorial Sloan Kettering Cancer Center', 'Weill Cornell Medical College']"
"Basil Briggs","['1940-9-13']","['Australia']","['University of Cambridge']","['Harrie Massey Medal and Prize']","['Cavendish Laboratory', 'University of Adelaide']"
"M. M. S. Ahuja","['1929-1-1']","['New Delhi']","['Madras Medical College']","['B. C. Roy Award', 'Padma Shri']","['All India Institute of Medical Sciences']"
"Sheldon Weinbaum","['1937-07-26']","['United States']","['Harvard University', 'Rensselaer Polytechnic Institute']","['American Academy of Arts and Sciences', 'Guggenheim Fellowship', 'National Academy of Engineering', 'National Academy of Science']","['The City College of New York']"
"Jerome Bruner","['1915-10-01']","['New York City']","['Duke University', 'Harvard University']","['Balzan Prize']","['Harvard University', 'New York University', 'University of Oxford']"
"Earl Babbie","['1938-01-08']","['United States']","['Harvard College', 'University of California, Berkeley']","['California State University', 'Distinguished Visiting Professor', 'Lester F. Ward', 'Professor Emeritus']","['Chapman University', 'University of Hawaii']"
"Udai Bhan Tewari","['1944-06-18']","['Kanpur']","['Lucknow University', 'University of California, Berkeley']","['Shanti Swaroop Bhatnagar Award']","['IITK']"
"Henk Wesseling","['1937-08-06']","['Leiden']","['Leiden University']","['Order of the House of Orange']","['Leiden University', 'Netherlands Institute for Advanced Study']"
"Allen Shenstone","['1893-07-27']","['New Jersey']","['Princeton University', 'University of Cambridge']","['Military Cross']","['Princeton University', 'University of Toronto']"
"Philip Maini","['1959-10-16']","['United Kingdom']","['University of Oxford']","['Fellow of the Royal Society', 'Naylor Prize and Lectureship']","['University of Oxford', 'University of Utah']"
"Mark Walport","['1953-01-25']","['United Kingdom']","['University of Cambridge']","['Academy of Medical Sciences, United Kingdom', 'Fellow of the Royal Society', 'Knight Bachelor']","['Government of the United Kingdom', 'Guy's Hospital', 'Hammersmith Hospital', 'Imperial College School of Medicine', 'Royal Brompton Hospital', 'University of Cambridge', 'Wellcome Trust']"
"Richard D. Braatz","['1966-07-18']","['Arlington, Massachusetts']","['Caltech']","['Antonio Ruberti', 'Donald P. Eckman Award', 'Hertz Foundation']","['Massachusetts Institute of Technology']"
"Carlos Bertulani","['1955-11-25']","['United States']","['University of Bonn']","['American Physical Society', 'CNPq', 'Deutscher Akademischer Austauschdienst', 'Guggenheim Fellow']","['Brookhaven National Laboratory', 'Federal University of Rio de Janeiro', 'Michigan State University', 'Oak Ridge National Laboratory', 'Texas A&M University-Commerce', 'University of Arizona']"
"Ruben Safrastyan","['1955-10-05']","['Armenia']","['Yerevan State University']","['Khorenatsi medal']","['Armenian National Academy of Sciences', 'Yerevan State University']"
"Licia Verde","['1971-10-0']","['Spain']","['University of Padua']","['Gruber Prize in Cosmology', 'ISI highly cited researcher']","['Catalan Institution for Research and Advanced Studies', 'Princeton University', 'Radcliffe Institute for Advanced Study', 'University of Edinburgh', 'University of Oslo', 'University of Pennsylvania']"
