"entity","abstract"
"Harold Marshall (acoustician)","Sir Arthur Harold Marshall, KNZM, FRSNZ, FNZIA, FASA (born 15 September 1931) is an expert in acoustics design and research. He is Professor Emeritus of the University of Auckland School of Architecture, and co-founder of Marshall Day Acoustics Ltd in 1981 with Chris Day. He currently resides in Auckland New Zealand, and continues work with Marshall Day Acoustics as a group consultant. He is recognised internationally for his contribution to concert hall design, in particular his seminal work with Mike Barron on the importance of lateral reflections. Currently he is involved in several major concert hall projects including the Guangzhou Opera House with architect Zaha Hadid and the Philharmonie de Paris with French architect Jean Nouvel."
"Ziauddin Ahmad","Sir Ziauddin Ahmad CIE, MP (Urdu: ضیاء الدین احمد‎, born Ziauddin Ahmed Zuberi (Urdu: ضیاء الدین احمد زبیری‎) on 13 February 1878 – died on 23 December 1947) was a Genius mathematician, parliamentarian, logician, natural philosopher, politician, political theorist, educationist and scholar. He was a member of the Aligarh Movement and was a professor,Principal of MAO College, first Pro Vice Chancellor, Vice Chancellor and Rector of Aligarh Muslim University, India. He remained Vice Chancellor of Aligarh Muslim University for three terms. In 1917 he was appointed a member of the Calcutta University Commission also known as the Sadler Commission. He was also a member of Skeen Committee also known as Indian Sandhurst Committee and Shea Commission for the Indianisation of the British Indian Army."
"Heinz König","Heinz König (25 December 1927 – 21 November 2002) was a German researcher, economist and former professor for Economy and Econometrics at the University of Mannheim from 1962 to 1996. Moreover, he served as President (Rektor) of the University of Mannheim between 1979 and 1982. In addition, König was founding director of the Zentrum für Europäische Wirtschaftsforschung (ZEW)."
"Izaak Kolthoff","Izaak Maurits (Piet) Kolthoff (February 11, 1894 – March 4, 1993) was a highly influential analytical chemist and chemical educator. He is widely considered the father of analytical chemistry for his large volume of published research in diverse fields of analysis, his work to modernize and promote the field, and for advising a large number of students who went on to influential careers of their own. Kolthoff's best-known research contribution was the development of the ""cold process"" for producing synthetic rubber, which he undertook under the U.S. synthetic rubber program during World War II. He was also active in social causes, including promoting world peace and opposing nuclear weapons testing. Kolthoff received a Ph.D. in chemistry from the University of Utrecht in his native Netherlands. In 1927, he emigrated to the United States, joining the faculty at the University of Minnesota, where he worked for more than 60 years."
"Murray Batchelor","Murray Thomas Batchelor (born 27 August 1961), is an Australian mathematical physicist. He holds a position at Chongqing University and a part-time position at the Australian National University jointly between the Department of Theoretical Physics in the Research School of Physics and Engineering and the Mathematical Sciences Institute. He is best known for his work in mathematical physics and theoretical physics. However, Batchelor has also shown an interest in ancient and modern stromatolites, which has led him on a number of field trips to outback Australia, including to the Pilbara Craton and to Hamelin Pool Marine Nature Reserve."
"Leon M. Lederman","Leon Max Lederman (born July 15, 1922) is an American experimental physicist who received the Wolf Prize in Physics in 1982, along with Martin Lewis Perl, for their research on quarks and leptons, and the Nobel Prize for Physics in 1988, along with Melvin Schwartz and Jack Steinberger, for their research on neutrinos. He is Director Emeritus of Fermi National Accelerator Laboratory (Fermilab) in Batavia, Illinois, USA. He founded the Illinois Mathematics and Science Academy, in Aurora, Illinois in 1986, and has been Resident Scholar Emeritus since 2012. In 2012, he was awarded the Vannevar Bush Award for his extraordinary contributions to understanding the basic forces and particles of nature."
"Peter Balazs (mathematician)","Peter Balazs (* 11 December 1970 in Tulln an der Donau) is an Austrian mathematician working at the Acoustics Research Institute Vienna of the Austrian Academy of Sciences. Peter Balazs studied mathematics and physics at the University of Vienna. In 2001, he graduated with honors in mathematics and an M.Sc. thesis on ""Polynomials over Groups"" (""Polynome über Gruppen""). He successfully defended his PhD thesis and graduated (with distinction) in June 2005. His PhD thesis is titled, ""Regular and Irregular Gabor Multiplier with Application to Psychoacoustic Masking"". Peter Balazs has been part of the Acoustics Research Institute since 1999. His PhD thesis was written at NuHaG (Numerical Harmonic Analysis Group), Faculty of Mathematics, University of Vienna. The cooperation formed during his thesis also resulted in him becoming a fellow of the HASSIP (Harmonic Analysis and Statistics for Signal and Image Processing) EU network. He joined the LATP (Laboratoire d'Analyse, Topologie, Probabilités), CMI and LMA, CNRS Marseille from November 2003 to April 2004 and in March, May and June 2006. He also worked with the FYMA, UCL, Louvain-La-Neuve in August 2005. For the project FLAME (Frames and Linear Operators for Acoustical Modeling and Parameter Estimation) Peter Balazs 2011 was honored with the high reputed Start-Preis. He is director of the Acoustics Research Institute since 2012."
"Lorenz Studer","Lorenz Studer (born March 6, 1966) is the Founder and Director of the Center for Stem Cell Biology at Memorial-Sloan Kettering Cancer Center in New York City. He is a developmental biologist and neuroscientist who is pioneering the generation of midbrain dopamine neurons for transplantation and clinical applications. Currently, he is a member of the Developmental Biology Program and Department of Neurosurgery at Memorial Sloan-Kettering Cancer Center and a Professor of Neuroscience at Weill Cornell Medical College in New York City, NY. In 2015, he was named a recipient of the MacArthur Fellowship (also known as the ""Genius Grant"") for his innovative work on stem cell and Parkinson’s disease research."
"Basil Briggs","Basil Hugh Briggs (1923 – 8 February 1994) was an English/Australian physicist, Reader in physics at the University of Adelaide, winner of the Harrie Massey Medal and Prize for outstanding contribution to physics in Australia in 1992. Briggs was born in Bradford, England, and was awarded a scholarship to the University of Cambridge (B.A. 1942, Ph.D. 1952). He was a Junior Scientific Officer, Telecommunications Research Establishment, in Malvern, Worcestershire, from 1942 to 1946. Then he worked at the Radio Research Group, Cavendish Laboratory, from 1946 to 1961. At Cavendish, Briggs joined with a small group to develop a mathematical procedure to deduce the horizontal motion of the ionosphere from radar signals detected on spaced antennas (see Journal of Atmospheric and Terrestrial Physics, 56, 831, 1994). Over many years, Briggs refined this correlation procedure, and was clearly acknowledged as a world leader in this area. The Cavendish Radio Group began winding down in 1961 and Briggs searched for a University post. In 1962, Briggs became Senior Lecturer in Physics, University of Adelaide; a few years later became Reader until he retired. Briggs was a member of the editorial panel for the Journal of Atmospheric and Terrestrial Physics for 25 years. He is the father of the mathematician Keith Briggs."
"M. M. S. Ahuja","Professor Man Mohan Singh Ahuja, better known as M. M. S. Ahuja (1929 – 12 July 1998) was famous Indian Physician and Endocrinologist. He was born in 1929 in Multan in British India. He was graduated from Madras Medical College in 1952. He passed M.R.C.P. (London) in 1956, and did residency at Hammersmith Hospital, London. In 1958, he joined All India Institute of Medical Sciences as Registrar in Medicine department under Prof. K. L. Wig. He was promoted as Associate Professor and later as Head of the Department of Medicine in 1969. He became Head of the Department of Endocrinology and Metabolism, when it was formed in 1982 until 1989. He was Dean of the Institute in 1988-1989. He played key role in founding 'Research Society for the Study of Diabetes in India' in 1972 and 'Hormone Foundation, India.' He was the founding editor of International Journal of Diabetes in Developing Countries. He was Chief editor of medical publication series on ""Progress in Medicine"". They are unique and monumental documentations of scientific work done in India on problems of Indian Medicine.Many generations of Medical students have been benefited from these volumes. He died on 12 July 1998 in New Delhi. He was survived by his wife Dr. Meera Ahuja, daughter Sumati and son Vikas. He got 1 Shot by the 1 shot macro."
